"CD_REF_vasc_2018","Nom.scientifique_vasc_2018","CD_REF","LB_NOM","FAMILLE","taxonomy"
120642,"Salvia fruticosa Mill., 1768",120642,"Salvia fruticosa","Lamiaceae","unchanged"
119097,"Rubus fruticosus L., 1753",119097,"Rubus fruticosus","Rosaceae","unchanged"
113924,"Plantago ovata Forssk., 1775",113924,"Plantago ovata","Plantaginaceae","unchanged"
117874,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",117874,"Roemeria argemone","Papaveraceae","unchanged"
79319,"Abies alba Mill., 1768",79319,"Abies alba","Pinaceae","unchanged"
79325,"Abies cephalonica Loudon, 1838",79325,"Abies cephalonica","Pinaceae","unchanged"
79333,"Abies grandis (Douglas ex D.Don) Lindl., 1833",79333,"Abies grandis","Pinaceae","unchanged"
79345,"Abies nordmanniana (Steven) Spach, 1841",79345,"Abies nordmanniana","Pinaceae","unchanged"
79349,"Abies pinsapo Boiss., 1838",79349,"Abies pinsapo","Pinaceae","unchanged"
79684,"Abutilon theophrasti Medik., 1787",79684,"Abutilon theophrasti","Malvaceae","unchanged"
79687,"Acacia baileyana F.Muell., 1888",79687,"Acacia baileyana","Fabaceae","unchanged"
79691,"Acacia dealbata Link, 1822",79691,"Acacia dealbata","Fabaceae","unchanged"
447337,"Acacia karroo Hayne, 1827",835510,"Vachellia karroo","Fabaceae","name_changed"
79698,"Acacia longifolia (Andrews) Willd., 1806",79698,"Acacia longifolia","Fabaceae","unchanged"
79700,"Acacia mearnsii De Wild., 1925",79700,"Acacia mearnsii","Fabaceae","unchanged"
79701,"Acacia melanoxylon R.Br., 1813",79701,"Acacia melanoxylon","Fabaceae","unchanged"
79706,"Acacia pycnantha Benth., 1842",79706,"Acacia pycnantha","Fabaceae","unchanged"
79707,"Acacia retinodes Schltdl., 1847",79707,"Acacia retinodes","Fabaceae","unchanged"
79710,"Acacia saligna (Labill.) H.L.Wendl., 1820",79710,"Acacia saligna","Fabaceae","unchanged"
79716,"Acanthoprasium frutescens (L.) Spenn., 1843",79716,"Acanthoprasium frutescens","Lamiaceae","unchanged"
611761,"Acanthus arboreus Forssk., 1775",611761,"Acanthus arboreus","Acanthaceae","unchanged"
79721,"Acanthus mollis L., 1753",79721,"Acanthus mollis","Acanthaceae","unchanged"
79734,"Acer campestre L., 1753",79734,"Acer campestre","Sapindaceae","unchanged"
79735,"Acer cappadocicum Gled., 1785",79735,"Acer cappadocicum","Sapindaceae","unchanged"
79755,"Acer japonicum Thunb., 1784",79755,"Acer japonicum","Sapindaceae","unchanged"
79763,"Acer monspessulanum L., 1753",79763,"Acer monspessulanum","Sapindaceae","unchanged"
79766,"Acer negundo L., 1753",79766,"Acer negundo","Sapindaceae","unchanged"
79770,"Acer opalus Mill., 1768",79770,"Acer opalus","Sapindaceae","unchanged"
79775,"Acer palmatum Thunb., 1784",79775,"Acer palmatum","Sapindaceae","unchanged"
79779,"Acer platanoides L., 1753",79779,"Acer platanoides","Sapindaceae","unchanged"
79783,"Acer pseudoplatanus L., 1753",79783,"Acer pseudoplatanus","Sapindaceae","unchanged"
717049,"Acer rufinerve Siebold & Zucc., 1845",717049,"Acer rufinerve","Sapindaceae","unchanged"
79788,"Acer saccharinum L., 1753",79788,"Acer saccharinum","Sapindaceae","unchanged"
79865,"Achillea ageratum L., 1753",79865,"Achillea ageratum","Asteraceae","unchanged"
79868,"Achillea atrata L., 1753",79868,"Achillea atrata","Asteraceae","unchanged"
79874,"Achillea chamaemelifolia Pourr., 1788",79874,"Achillea chamaemelifolia","Asteraceae","unchanged"
896277,"Achillea collina (Becker ex Wirtg.) Heimerl, 1883",896277,"Achillea collina","Asteraceae","unchanged"
79877,"Achillea crithmifolia Waldst. & Kit., 1802",79877,"Achillea crithmifolia","Asteraceae","unchanged"
79886,"Achillea distans Waldst. & Kit. ex Willd., 1803",79886,"Achillea distans","Asteraceae","unchanged"
79887,"Achillea erba-rotta All., 1773",79887,"Achillea erba-rotta","Asteraceae","unchanged"
79890,"Achillea filipendulina Lam., 1783",79890,"Achillea filipendulina","Asteraceae","unchanged"
79903,"Achillea ligustica All., 1773",79903,"Achillea ligustica","Asteraceae","unchanged"
79905,"Achillea macrophylla L., 1753",79905,"Achillea macrophylla","Asteraceae","unchanged"
610735,"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005",610735,"Achillea maritima","Asteraceae","unchanged"
79908,"Achillea millefolium L., 1753",79908,"Achillea millefolium","Asteraceae","unchanged"
79913,"Achillea nana L., 1753",79913,"Achillea nana","Asteraceae","unchanged"
79914,"Achillea nobilis L., 1753",79914,"Achillea nobilis","Asteraceae","unchanged"
79915,"Achillea odorata L., 1759",79915,"Achillea odorata","Asteraceae","unchanged"
79921,"Achillea ptarmica L., 1753",79921,"Achillea ptarmica","Asteraceae","unchanged"
79923,"Achillea roseo-alba Ehrend., 1959",79923,"Achillea roseo-alba","Asteraceae","unchanged"
79939,"Achillea tomentosa L., 1753",79939,"Achillea tomentosa","Asteraceae","unchanged"
717051,"Achnatherum bromoides (L.) P.Beauv., 1812",717051,"Achnatherum bromoides","Poaceae","unchanged"
79970,"Achnatherum calamagrostis (L.) P.Beauv., 1812",79970,"Achnatherum calamagrostis","Poaceae","unchanged"
610607,"Acis fabrei (Qu�zel & Girerd) Lledo, A.P.Davis & M.B.Crespo, 2004",610607,"Acis fabrei","Amaryllidaceae","unchanged"
80000,"Acis longifolia J.Gay ex M.Roem., 1847",80000,"Acis longifolia","Amaryllidaceae","unchanged"
610608,"Acis nicaeensis (Ardoino) Lled�, A.P.Davis & M.B.Crespo, 2004",610608,"Acis nicaeensis","Amaryllidaceae","unchanged"
80003,"Acis rosea (F.Martin) Sweet, 1829",80003,"Acis rosea","Amaryllidaceae","unchanged"
80007,"Aconitum anthora L., 1753",80007,"Aconitum anthora","Ranunculaceae","unchanged"
80034,"Aconitum lycoctonum L., 1753",80034,"Aconitum lycoctonum","Ranunculaceae","unchanged"
80037,"Aconitum napellus L., 1753",80037,"Aconitum napellus","Ranunculaceae","unchanged"
80066,"Aconitum variegatum L., 1753",80066,"Aconitum variegatum","Ranunculaceae","unchanged"
80086,"Acorus calamus L., 1753",80086,"Acorus calamus","Acoraceae","unchanged"
80137,"Actaea spicata L., 1753",80137,"Actaea spicata","Ranunculaceae","unchanged"
80155,"Adenocarpus complicatus (L.) J.Gay, 1836",80155,"Adenocarpus complicatus","Fabaceae","unchanged"
80162,"Adenocarpus telonensis (Loisel.) DC., 1815",80162,"Adenocarpus telonensis","Fabaceae","unchanged"
80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",80183,"Adenostyles alliariae","Asteraceae","unchanged"
80184,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",80184,"Adenostyles alpina","Asteraceae","unchanged"
80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",80190,"Adenostyles leucophylla","Asteraceae","unchanged"
447951,"Adiantum capillus-veneris L., 1753",447951,"Adiantum capillus-veneris","Pteridaceae","unchanged"
447953,"Adiantum raddianum C.Presl, 1836",447953,"Adiantum raddianum","Pteridaceae","unchanged"
80211,"Adonis aestivalis L., 1762",80211,"Adonis aestivalis","Ranunculaceae","unchanged"
80212,"Adonis annua L., 1753",80212,"Adonis annua","Ranunculaceae","unchanged"
80224,"Adonis flammea Jacq., 1776",80224,"Adonis flammea","Ranunculaceae","unchanged"
80232,"Adonis microcarpa DC., 1817",80232,"Adonis microcarpa","Ranunculaceae","unchanged"
80238,"Adonis pyrenaica DC., 1815",80238,"Adonis pyrenaica","Ranunculaceae","unchanged"
80240,"Adonis vernalis L., 1753",80240,"Adonis vernalis","Ranunculaceae","unchanged"
80243,"Adoxa moschatellina L., 1753",80243,"Adoxa moschatellina","Viburnaceae","unchanged"
80263,"Aegilops biuncialis Vis., 1842",80263,"Aegilops biuncialis","Poaceae","unchanged"
159514,"Aegilops caudata L., 1753",159514,"Aegilops caudata","Poaceae","unchanged"
610756,"Aegilops crassa Boiss., 1846",610756,"Aegilops crassa","Poaceae","unchanged"
80270,"Aegilops cylindrica Host, 1802",80270,"Aegilops cylindrica","Poaceae","unchanged"
80278,"Aegilops geniculata Roth, 1797",80278,"Aegilops geniculata","Poaceae","unchanged"
80282,"Aegilops juvenalis (Thell.) Eig, 1929",80282,"Aegilops juvenalis","Poaceae","unchanged"
80283,"Aegilops ligustica (Savign.) Coss., 1864",955740,"Aegilops speltoides subsp. ligustica","Poaceae","species_to_subspecies"
80288,"Aegilops neglecta Req. ex Bertol., 1835",80288,"Aegilops neglecta","Poaceae","unchanged"
80297,"Aegilops speltoides Tausch, 1837",80297,"Aegilops speltoides","Poaceae","unchanged"
80302,"Aegilops triuncialis L., 1753",80302,"Aegilops triuncialis","Poaceae","unchanged"
80304,"Aegilops ventricosa Tausch, 1837",80304,"Aegilops ventricosa","Poaceae","unchanged"
