CD_REF,FAMILLE,Nom scientifique,Rang,Categorie,Commentaires
120642,Lamiaceae,"Salvia fruticosa Mill., 1768",espece,NAc,"Ajout, TAXREF v17"
119097,Rosaceae,"Rubus fruticosus L., 1753",espece,NAc,"Ajout, TAXREF v17"
113924,Plantaginaceae,"Plantago ovata Forssk., 1775",espece,NAc,"Ajout, TAXREF v17,  erreur ?"
117874,Papaveraceae,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",espece,NAc,"Ajout, TAXREF v17"
79319,Pinaceae,"Abies alba Mill., 1768",espece,LC,
79325,Pinaceae,"Abies cephalonica Loudon, 1838",espece,NAa,Exotiques
79333,Pinaceae,"Abies grandis (Douglas ex D.Don) Lindl., 1833",espece,NAa,Exotiques
79345,Pinaceae,"Abies nordmanniana (Steven) Spach, 1841",espece,NAa,Exotiques
79349,Pinaceae,"Abies pinsapo Boiss., 1838",espece,NAa,Exotiques
79684,Malvaceae,"Abutilon theophrasti Medik., 1787",espece,NAa,Exotiques
79687,Fabaceae,"Acacia baileyana F.Muell., 1888",espece,NAa,Exotiques
79691,Fabaceae,"Acacia dealbata Link, 1822",espece,NAa,Exotiques
447337,Fabaceae,"Acacia karroo Hayne, 1827",espece,NAa,Exotiques
79698,Fabaceae,"Acacia longifolia (Andrews) Willd., 1806",espece,NAa,Exotiques
79700,Fabaceae,"Acacia mearnsii De Wild., 1925",espece,NAa,Exotiques
79701,Fabaceae,"Acacia melanoxylon R.Br., 1813",espece,NAa,Exotiques
79706,Fabaceae,"Acacia pycnantha Benth., 1842",espece,NAa,Exotiques
79707,Fabaceae,"Acacia retinodes Schltdl., 1847",espece,NAa,Exotiques
79710,Fabaceae,"Acacia saligna (Labill.) H.L.Wendl., 1820",espece,NAa,Exotiques
79716,Lamiaceae,"Acanthoprasium frutescens (L.) Spenn., 1843",espece,LC,
611761,Acanthaceae,"Acanthus arboreus Forssk., 1775",espece,NAa,Exotiques
79721,Acanthaceae,"Acanthus mollis L., 1753",espece,LC,
79734,Sapindaceae,"Acer campestre L., 1753",espece,LC,
79735,Sapindaceae,"Acer cappadocicum Gled., 1785",espece,NAa,Exotiques
79755,Sapindaceae,"Acer japonicum Thunb., 1784",espece,NAa,Exotiques
79763,Sapindaceae,"Acer monspessulanum L., 1753",espece,LC,
79766,Sapindaceae,"Acer negundo L., 1753",espece,NAa,Exotiques
79770,Sapindaceae,"Acer opalus Mill., 1768",espece,LC,
