"species","genus","family"
"Salvia fruticosa","Salvia","Lamiaceae"
"Rubus fruticosus","Rubus","Rosaceae"
"Plantago ovata","Plantago","Plantaginaceae"
"Roemeria argemone","Roemeria","Papaveraceae"
"Abies alba","Abies","Pinaceae"
"Abies cephalonica","Abies","Pinaceae"
"Abies grandis","Abies","Pinaceae"
"Abies nordmanniana","Abies","Pinaceae"
"Abies pinsapo","Abies","Pinaceae"
"Abutilon theophrasti","Abutilon","Malvaceae"
"Acacia baileyana","Acacia","Fabaceae"
"Acacia dealbata","Acacia","Fabaceae"
"Vachellia karroo","Vachellia","Fabaceae"
"Acacia longifolia","Acacia","Fabaceae"
"Acacia mearnsii","Acacia","Fabaceae"
"Acacia melanoxylon","Acacia","Fabaceae"
"Acacia pycnantha","Acacia","Fabaceae"
"Acacia retinodes","Acacia","Fabaceae"
"Acacia saligna","Acacia","Fabaceae"
"Acanthoprasium frutescens","Acanthoprasium","Lamiaceae"
"Acanthus arboreus","Acanthus","Acanthaceae"
"Acanthus mollis","Acanthus","Acanthaceae"
"Acer campestre","Acer","Sapindaceae"
"Acer cappadocicum","Acer","Sapindaceae"
"Acer japonicum","Acer","Sapindaceae"
"Acer monspessulanum","Acer","Sapindaceae"
"Acer negundo","Acer","Sapindaceae"
"Acer opalus","Acer","Sapindaceae"
"Acer palmatum","Acer","Sapindaceae"
"Acer platanoides","Acer","Sapindaceae"
"Acer pseudoplatanus","Acer","Sapindaceae"
"Acer rufinerve","Acer","Sapindaceae"
"Acer saccharinum","Acer","Sapindaceae"
"Achillea ageratum","Achillea","Asteraceae"
"Achillea atrata","Achillea","Asteraceae"
"Achillea chamaemelifolia","Achillea","Asteraceae"
"Achillea collina","Achillea","Asteraceae"
"Achillea crithmifolia","Achillea","Asteraceae"
"Achillea distans","Achillea","Asteraceae"
"Achillea erba-rotta","Achillea","Asteraceae"
"Achillea filipendulina","Achillea","Asteraceae"
"Achillea ligustica","Achillea","Asteraceae"
"Achillea macrophylla","Achillea","Asteraceae"
"Achillea maritima","Achillea","Asteraceae"
"Achillea millefolium","Achillea","Asteraceae"
"Achillea nana","Achillea","Asteraceae"
"Achillea nobilis","Achillea","Asteraceae"
"Achillea odorata","Achillea","Asteraceae"
"Achillea ptarmica","Achillea","Asteraceae"
"Achillea roseo-alba","Achillea","Asteraceae"
"Achillea tomentosa","Achillea","Asteraceae"
"Achnatherum bromoides","Achnatherum","Poaceae"
"Achnatherum calamagrostis","Achnatherum","Poaceae"
"Acis fabrei","Acis","Amaryllidaceae"
"Acis longifolia","Acis","Amaryllidaceae"
"Acis nicaeensis","Acis","Amaryllidaceae"
"Acis rosea","Acis","Amaryllidaceae"
"Aconitum anthora","Aconitum","Ranunculaceae"
"Aconitum lycoctonum","Aconitum","Ranunculaceae"
"Aconitum napellus","Aconitum","Ranunculaceae"
"Aconitum variegatum","Aconitum","Ranunculaceae"
"Acorus calamus","Acorus","Acoraceae"
"Actaea spicata","Actaea","Ranunculaceae"
"Adenocarpus complicatus","Adenocarpus","Fabaceae"
"Adenocarpus telonensis","Adenocarpus","Fabaceae"
"Adenostyles alliariae","Adenostyles","Asteraceae"
"Adenostyles alpina","Adenostyles","Asteraceae"
"Adenostyles leucophylla","Adenostyles","Asteraceae"
"Adiantum capillus-veneris","Adiantum","Pteridaceae"
"Adiantum raddianum","Adiantum","Pteridaceae"
"Adonis aestivalis","Adonis","Ranunculaceae"
"Adonis annua","Adonis","Ranunculaceae"
"Adonis flammea","Adonis","Ranunculaceae"
"Adonis microcarpa","Adonis","Ranunculaceae"
"Adonis pyrenaica","Adonis","Ranunculaceae"
"Adonis vernalis","Adonis","Ranunculaceae"
"Adoxa moschatellina","Adoxa","Viburnaceae"
"Aegilops biuncialis","Aegilops","Poaceae"
"Aegilops caudata","Aegilops","Poaceae"
"Aegilops crassa","Aegilops","Poaceae"
"Aegilops cylindrica","Aegilops","Poaceae"
"Aegilops geniculata","Aegilops","Poaceae"
"Aegilops juvenalis","Aegilops","Poaceae"
"Aegilops neglecta","Aegilops","Poaceae"
"Aegilops speltoides","Aegilops","Poaceae"
"Aegilops triuncialis","Aegilops","Poaceae"
"Aegilops ventricosa","Aegilops","Poaceae"
"Aegopodium podagraria","Aegopodium","Apiaceae"
"Aeluropus littoralis","Aeluropus","Poaceae"
"Aeonium haworthii","Aeonium","Crassulaceae"
"Aesculus carnea","Aesculus","Sapindaceae"
"Aesculus hippocastanum","Aesculus","Sapindaceae"
"Aethionema monospermum","Aethionema","Brassicaceae"
"Aethionema saxatile","Aethionema","Brassicaceae"
"Aethionema thomasianum","Aethionema","Brassicaceae"
"Aethusa cynapium","Aethusa","Apiaceae"
"Agave americana","Agave","Asparagaceae"
"Agave salmiana","Agave","Asparagaceae"
"Ageratina adenophora","Ageratina","Asteraceae"
"Agrimonia eupatoria","Agrimonia","Rosaceae"
"Agrimonia procera","Agrimonia","Rosaceae"
"Agropyron cristatum","Agropyron","Poaceae"
"Agrostemma githago","Agrostemma","Caryophyllaceae"
"Agrostis alpina","Agrostis","Poaceae"
"Agrostis canina","Agrostis","Poaceae"
"Agrostis capillaris","Agrostis","Poaceae"
"Agrostis castellana","Agrostis","Poaceae"
"Agrostis curtisii","Agrostis","Poaceae"
"Agrostis gigantea","Agrostis","Poaceae"
"Agrostis hesperica","Agrostis","Poaceae"
"Agrostis marysae-tortiae","Agrostis","Poaceae"
"Agrostis rupestris","Agrostis","Poaceae"
"Agrostis scabra","Agrostis","Poaceae"
"Agrostis schleicheri","Agrostis","Poaceae"
"Agrostis schraderiana","Agrostis","Poaceae"
"Agrostis stolonifera","Agrostis","Poaceae"
"Agrostis vinealis","Agrostis","Poaceae"
"Ailanthus altissima","Ailanthus","Simaroubaceae"
"Aira armoricana","Aira","Poaceae"
"Aira caryophyllea","Aira","Poaceae"
"Aira cupaniana","Aira","Poaceae"
"Aira elegantissima","Aira","Poaceae"
"Aira multiculmis","Aira","Poaceae"
"Aira praecox","Aira","Poaceae"
"Aira provincialis","Aira","Poaceae"
"Aira tenorei","Aira","Poaceae"
"Airopsis tenella","Airopsis","Poaceae"
"Ajuga chamaepitys","Ajuga","Lamiaceae"
"Ajuga genevensis","Ajuga","Lamiaceae"
"Ajuga iva","Ajuga","Lamiaceae"
"Ajuga pyramidalis","Ajuga","Lamiaceae"
"Ajuga reptans","Ajuga","Lamiaceae"
"Akebia quinata","Akebia","Lardizabalaceae"
"Albizia julibrissin","Albizia","Fabaceae"
"Alcea biennis","Alcea","Malvaceae"
"Alcea rosea","Alcea","Malvaceae"
"Alchemilla acutiloba","Alchemilla","Rosaceae"
"Alchemilla alpigena","Alchemilla","Rosaceae"
"Alchemilla alpina","Alchemilla","Rosaceae"
"Alchemilla amphisericea","Alchemilla","Rosaceae"
"Alchemilla borderei","Alchemilla","Rosaceae"
"Alchemilla colorata","Alchemilla","Rosaceae"
"Alchemilla conjuncta","Alchemilla","Rosaceae"
"Alchemilla connivens","Alchemilla","Rosaceae"
"Alchemilla controversa","Alchemilla","Rosaceae"
"Alchemilla coriacea","Alchemilla","Rosaceae"
"Alchemilla crinita","Alchemilla","Rosaceae"
"Alchemilla decumbens","Alchemilla","Rosaceae"
"Alchemilla demissa","Alchemilla","Rosaceae"
"Alchemilla diluta","Alchemilla","Rosaceae"
"Alchemilla fallax","Alchemilla","Rosaceae"
"Alchemilla filicaulis","Alchemilla","Rosaceae"
"Alchemilla fissa","Alchemilla","Rosaceae"
"Alchemilla flabellata","Alchemilla","Rosaceae"
"Alchemilla flexicaulis","Alchemilla","Rosaceae"
"Alchemilla frigens","Alchemilla","Rosaceae"
"Alchemilla fulgens","Alchemilla","Rosaceae"
"Alchemilla glabra","Alchemilla","Rosaceae"
"Alchemilla glacialis","Alchemilla","Rosaceae"
"Alchemilla glaucescens","Alchemilla","Rosaceae"
"Alchemilla glomerulans","Alchemilla","Rosaceae"
"Alchemilla grenieri","Alchemilla","Rosaceae"
"Alchemilla grossidens","Alchemilla","Rosaceae"
"Alchemilla heteropoda","Alchemilla","Rosaceae"
"Alchemilla hoppeana","Alchemilla","Rosaceae"
"Alchemilla hybrida","Alchemilla","Rosaceae"
"Alchemilla incisa","Alchemilla","Rosaceae"
"Alchemilla leptoclada","Alchemilla","Rosaceae"
"Alchemilla mollis","Alchemilla","Rosaceae"
"Alchemilla monticola","Alchemilla","Rosaceae"
"Alchemilla montserratii","Alchemilla","Rosaceae"
"Alchemilla obscura","Alchemilla","Rosaceae"
"Alchemilla ozana","Alchemilla","Rosaceae"
"Alchemilla pallens","Alchemilla","Rosaceae"
"Alchemilla pentaphyllea","Alchemilla","Rosaceae"
"Alchemilla petiolulans","Alchemilla","Rosaceae"
"Alchemilla plicata","Alchemilla","Rosaceae"
"Alchemilla polatschekiana","Alchemilla","Rosaceae"
"Alchemilla propinqua","Alchemilla","Rosaceae"
"Alchemilla reflexa","Alchemilla","Rosaceae"
"Alchemilla reniformis","Alchemilla","Rosaceae"
"Alchemilla saxatilis","Alchemilla","Rosaceae"
"Alchemilla schmidelyana","Alchemilla","Rosaceae"
"Alchemilla splendens","Alchemilla","Rosaceae"
"Alchemilla strigosula","Alchemilla","Rosaceae"
"Alchemilla subcrenata","Alchemilla","Rosaceae"
"Alchemilla subglobosa","Alchemilla","Rosaceae"
"Alchemilla subsericea","Alchemilla","Rosaceae"
"Alchemilla transiens","Alchemilla","Rosaceae"
"Alchemilla trunciloba","Alchemilla","Rosaceae"
"Alchemilla vetteri","Alchemilla","Rosaceae"
"Alchemilla xanthochlora","Alchemilla","Rosaceae"
"Alisma gramineum","Alisma","Alismataceae"
"Alisma lanceolatum","Alisma","Alismataceae"
"Alisma plantago-aquatica","Alisma","Alismataceae"
"Alkanna lutea","Alkanna","Boraginaceae"
"Alkanna matthioli","Alkanna","Boraginaceae"
"Alliaria petiolata","Alliaria","Brassicaceae"
"Allium acutiflorum","Allium","Amaryllidaceae"
"Allium ampeloprasum","Allium","Amaryllidaceae"
"Allium angulosum","Allium","Amaryllidaceae"
"Allium carinatum","Allium","Amaryllidaceae"
"Allium cepa","Allium","Amaryllidaceae"
"Allium chamaemoly","Allium","Amaryllidaceae"
"Allium coloratum","Allium","Amaryllidaceae"
"Allium commutatum","Allium","Amaryllidaceae"
"Allium consimile","Allium","Amaryllidaceae"
"Allium corsicum","Allium","Amaryllidaceae"
"Allium cyrilli","Allium","Amaryllidaceae"
"Allium ericetorum","Allium","Amaryllidaceae"
"Allium fistulosum","Allium","Amaryllidaceae"
"Allium flavum","Allium","Amaryllidaceae"
"Allium flexum","Allium","Amaryllidaceae"
"Allium longispathum","Allium","Amaryllidaceae"
"Allium lusitanicum","Allium","Amaryllidaceae"
"Allium moly","Allium","Amaryllidaceae"
"Allium moschatum","Allium","Amaryllidaceae"
"Allium multibulbosum","Allium","Amaryllidaceae"
"Allium narcissiflorum","Allium","Amaryllidaceae"
"Allium neapolitanum","Allium","Amaryllidaceae"
"Allium nigrum","Allium","Amaryllidaceae"
"Allium oleraceum","Allium","Amaryllidaceae"
"Allium oporinanthum","Allium","Amaryllidaceae"
"Allium pallens","Allium","Amaryllidaceae"
"Allium parciflorum","Allium","Amaryllidaceae"
"Allium pendulinum","Allium","Amaryllidaceae"
"Allium polyanthum","Allium","Amaryllidaceae"
