"clus_ward_cut","departement"
1,"01"
2,"02"
2,"03"
3,"04"
3,"05"
3,"06"
4,"2A"
4,"2B"
3,"07"
2,"08"
1,"09"
2,"10"
5,"11"
6,"12"
5,"13"
7,"14"
1,"15"
6,"16"
6,"17"
2,"18"
7,"19"
2,"21"
7,"22"
7,"23"
6,"24"
1,"25"
3,"26"
7,"27"
2,"28"
7,"29"
5,"30"
6,"31"
6,"32"
6,"33"
5,"34"
7,"35"
2,"36"
2,"37"
3,"38"
1,"39"
6,"40"
2,"41"
2,"42"
1,"43"
6,"44"
2,"45"
6,"46"
6,"47"
1,"48"
2,"49"
7,"50"
2,"51"
2,"52"
7,"53"
2,"54"
2,"55"
7,"56"
2,"57"
2,"58"
2,"59"
2,"60"
7,"61"
2,"62"
1,"63"
1,"64"
1,"65"
3,"66"
1,"67"
1,"68"
2,"69"
2,"70"
2,"71"
2,"72"
3,"73"
3,"74"
7,"76"
6,"79"
2,"80"
6,"81"
6,"82"
5,"83"
5,"84"
6,"85"
6,"86"
7,"87"
1,"88"
2,"89"
1,"90"
2,"PARIS"
