"CD_REF","clus_ward_cut"
3819,3
3842,5
3845,1
3849,5
3851,3
3853,7
3856,4
3858,5
3859,2
3860,5
3864,7
3865,7
3867,7
3870,3
3873,1
3875,7
3879,6
3884,2
3885,6
3888,5
3892,5
3896,5
3899,5
3900,2
3901,5
3905,4
3908,6
3910,2
3912,3
3913,1
3915,3
3928,1
4375,1
4376,5
4377,4
4379,3
4387,2
4388,4
4389,2
4391,1
4392,3
4393,5
4394,3
4395,3
4397,7
4400,5
4409,1
4411,2
4413,4
4414,3
4415,6
4417,4
4419,7
4421,1
4423,5
4424,3
4429,2
4431,5
4432,1
4433,4
4434,4
4435,1
4437,3
4439,6
4441,2
4444,2
4446,7
4447,4
4448,1
4452,3
4696,3
4700,2
4709,4
4724,3
4725,3
4726,3
4730,1
4731,5
4732,1
4734,5
4741,5
4743,1
4745,2
4746,3
4747,5
4750,5
4751,2
4752,4
4754,7
4761,3
4763,5
4770,7
4771,3
4775,3
4779,2
4781,5
4784,5
4786,3
4787,5
4788,4
4790,2
4797,4
4800,1
4802,6
4808,6
4809,3
4814,4
4816,5
4818,2
4819,3
4820,2
4821,3
4823,5
4826,5
4830,3
4832,6
4835,4
4837,3
4842,1
4844,3
4845,1
4846,5
4848,3
4849,3
4850,1
4851,6
4852,4
4858,1
4859,5
4860,3
4862,3
4864,3
4865,3
4866,1
4868,2
4872,2
4879,1
4881,3
4882,3
4883,3
4884,4
4887,6
4889,4
4890,4
4893,3
4895,4
4897,2
4898,2
4899,4
4900,4
4901,6
4903,4
4905,2
4906,4
4909,4
4910,5
4913,3
4916,4
4917,7
4920,4
4924,4
4925,2
4926,6
4927,5
4930,1
4932,7
4934,5
4936,5
4938,4
4941,3
4944,6
4946,7
4950,4
4951,2
4952,7
4955,5
4958,6
4962,3
4965,2
4966,5
4968,2
4971,3
4974,1
4976,5
4977,5
4978,6
4981,3
4983,1
4987,4
4988,5
4989,5
4990,3
4991,2
4992,5
4994,4
5000,4
5001,4
5004,4
5008,3
5009,5
5016,5
5017,5
5020,4
5021,4
5028,4
5029,2
5030,3
5031,4
5034,3
5035,1
5036,4
5038,5
5039,5
5042,1
5043,1
5044,6
5046,5
5047,3
5049,5
5050,2
5051,5
5056,4
5063,1
5066,4
5067,3
5072,4
5081,1
5082,1
5084,6
5087,2
5090,3
5093,7
5097,3
5098,5
5100,4
5104,6
5117,4
5118,4
5120,5
5124,1
5125,6
5128,3
5132,6
5136,5
5139,2
5141,2
5143,5
5149,5
5151,3
5153,3
5155,3
5161,3
5162,6
5164,2
5165,2
5167,6
5173,7
5180,4
5182,1
5184,6
5186,2
5190,4
5205,3
5206,1
5208,1
5210,5
5212,1
5214,4
5216,2
5219,3
5223,4
5225,2
5226,5
5233,1
5243,6
5244,1
5248,1
5249,1
5266,4
5268,3
5270,4
5273,3
5276,1
5278,2
5279,4
5281,4
5283,1
5284,4
5289,3
5292,5
5295,5
5298,5
5300,5
5302,5
5308,3
5311,1
5314,2
5322,6
5324,5
5325,5
5328,2
5330,3
5338,3
5340,2
5341,2
5343,3
5344,2
5345,3
5347,4
5348,3
5349,5
5350,7
5353,6
5356,3
5362,4
5364,4
5366,6
5370,2
5371,3
5374,2
5375,2
5379,4
5380,3
5384,4
5385,3
5386,5
5388,4
5390,4
5395,5
5397,2
5399,3
5400,5
5401,2
5402,1
5407,2
5409,5
5412,2
5415,1
5422,4
5423,3
5425,5
5426,7
5431,3
5437,4
5444,4
5446,3
5452,4
5455,2
5458,4
5464,3
5467,2
5476,6
5487,3
5491,4
5494,6
5502,6
5506,5
5514,3
5516,1
5520,2
5524,5
5525,4
5526,3
5528,2
5529,3
5530,3
5531,5
5533,3
5534,3
5535,1
5537,4
5538,4
5540,4
5541,4
5545,5
5546,3
5547,3
5548,3
5552,2
5554,4
5557,4
5560,5
5561,4
5564,1
5567,1
5572,6
5573,5
5574,4
5575,2
5577,2
5578,5
5579,3
5580,3
5581,5
5583,1
5586,5
5590,2
5591,1
5593,1
5595,1
5596,3
5600,4
5601,1
5613,3
5615,3
5616,1
5617,2
5620,4
5621,2
5623,1
5626,2
5639,3
5642,4
5643,4
5650,6
5656,1
5658,2
5659,4
5660,3
5662,2
5665,1
5669,2
5670,3
5671,3
5680,2
5681,1
5684,1
5685,3
5686,2
5687,1
5688,2
5689,4
5691,1
5692,1
5697,4
5701,1
5705,3
5706,3
5715,6
5719,1
5726,3
5744,3
5745,4
5749,3
5763,3
5766,3
5767,1
5776,1
5780,4
5782,3
5785,2
5786,6
5796,4
5802,3
5807,5
5809,1
5814,3
5816,5
5818,2
5825,6
5826,7
5828,6
5833,2
5839,5
5844,5
5847,4
5870,5
5872,4
5873,7
5876,3
5878,6
5881,4
5882,7
5886,7
5891,1
5892,6
5898,5
5903,6
5906,2
5907,4
5908,4
5910,3
5911,7
5916,1
5919,2
5922,7
5924,4
5926,4
5930,4
5931,1
5933,3
5939,4
5943,1
5948,4
5951,3
5954,4
5958,5
5961,6
5962,6
5965,3
5966,1
5969,4
5971,3
5973,4
5975,5
5980,7
5984,6
5986,2
5995,2
5998,7
6004,4
6008,6
6011,2
6013,7
6018,4
6020,6
6026,3
6033,7
6038,1
6046,5
6058,6
6089,1
6091,5
6093,4
6094,1
6096,6
6097,4
6099,2
6101,7
6105,5
6109,3
6111,7
6115,6
