"CD_REF","dpts"
3819,7
3842,18
3845,1
3849,11
3851,5
3853,86
3856,11
3858,23
3859,12
3860,18
3864,67
3865,86
3867,39
3870,9
3873,1
3875,29
3879,17
3884,5
3885,31
3888,17
3892,14
3896,19
3899,16
3900,3
3901,15
3905,6
3908,27
3910,3
3912,6
3913,1
3915,11
3928,1
4375,4
4376,17
4377,5
4379,9
4387,3
4388,11
4389,3
4391,1
4392,12
4393,9
4394,4
4395,3
4397,73
4400,20
4409,1
4411,5
4413,6
4414,4
4415,24
4417,14
4419,38
4421,1
4423,18
4424,10
4429,3
4431,15
4432,3
4433,11
4434,9
4435,1
4437,5
4439,19
4441,3
4444,5
4446,72
4447,10
4448,1
4452,12
4696,12
4700,4
4709,15
4724,10
4725,9
4726,14
4730,1
4731,14
4732,2
4734,16
4741,15
4743,3
4745,4
4746,5
4747,11
4750,16
4751,3
4752,19
4754,88
4761,6
4763,17
4770,80
4771,8
4775,3
4779,9
4781,15
4784,18
4786,6
4787,18
4788,7
4790,10
4797,8
4800,2
4802,26
4808,16
4809,6
4814,11
4816,11
4818,7
4819,5
4820,3
4821,3
4823,17
4826,15
4830,3
4832,13
4835,12
4837,6
4842,2
4844,8
4845,1
4846,11
4848,6
4849,8
4850,1
4851,25
4852,17
4858,2
4859,10
4860,3
4862,7
4864,14
4865,7
4866,1
4868,4
4872,5
4879,3
4881,8
4882,4
4883,9
4884,13
4887,16
4889,9
4890,7
4893,5
4895,6
4897,5
4898,3
4899,13
4900,15
4901,17
4903,9
4905,2
4906,13
4909,8
4910,19
4913,4
4916,10
4917,56
4920,16
4924,10
4925,6
4926,18
4927,10
4930,3
4932,56
4934,12
4936,15
4938,16
4941,9
4944,16
4946,82
4950,10
4951,11
4952,40
4955,16
4958,29
4962,5
4965,6
4966,5
4968,2
4971,5
4974,1
4976,16
4977,12
4978,27
4981,4
4983,3
4987,14
4988,19
4989,17
4990,6
4991,2
4992,14
4994,13
5000,11
5001,9
5004,9
5008,8
5009,19
5016,11
5017,22
5020,13
5021,23
5028,16
5029,8
5030,6
5031,16
5034,9
5035,3
5036,17
5038,16
5039,19
5042,2
5043,2
5044,18
5046,19
5047,3
5049,18
5050,8
5051,19
5056,8
5063,3
5066,22
5067,9
5072,17
5081,1
5082,1
5084,27
5087,3
5090,8
5093,32
5097,4
5098,20
5100,19
5104,30
5117,7
5118,14
5120,23
5124,1
5125,17
5128,8
5132,19
5136,12
5139,4
5141,2
5143,14
5149,20
5151,10
5153,7
5155,14
5161,8
5162,15
5164,5
5165,4
5167,22
5173,66
5180,6
5182,3
5184,32
5186,3
5190,14
5205,10
5206,1
5208,1
5210,15
5212,2
5214,9
5216,4
5219,13
5223,6
5225,4
5226,22
5233,2
5243,17
5244,1
5248,1
5249,2
5266,21
5268,15
5270,16
5273,17
5276,1
5278,6
5279,19
5281,9
5283,1
5284,15
5289,17
5292,17
5295,16
5298,12
5300,19
5302,20
5308,5
5311,1
5314,7
5322,25
5324,11
5325,18
5328,9
5330,13
5338,6
5340,3
5341,3
5343,6
5344,8
5345,6
5347,17
5348,4
5349,15
5350,36
5353,22
5356,16
5362,16
5364,13
5366,20
5370,3
5371,13
5374,3
5375,2
5379,5
5380,5
5384,12
5385,8
5386,19
5388,16
5390,9
5395,13
5397,3
5399,15
5400,12
5401,6
5402,3
5407,6
5409,12
5412,5
5415,1
5422,22
5423,13
5425,13
5426,87
5431,8
5437,14
5444,16
5446,15
5452,13
5455,3
5458,15
5464,10
5467,3
5476,30
5487,8
5491,15
5494,23
5502,26
5506,19
5514,9
5516,3
5520,2
5524,10
5525,8
5526,7
5528,2
5529,6
5530,11
5531,14
5533,8
5534,6
5535,3
5537,9
5538,15
5540,8
5541,19
5545,15
5546,5
5547,15
5548,14
5552,3
5554,25
5557,11
5560,12
5561,17
5564,4
5567,3
5572,17
5573,12
5574,18
5575,7
5577,10
5578,21
5579,8
5580,12
5581,17
5583,1
5586,12
5590,4
5591,1
5593,1
5595,1
5596,8
5600,14
5601,1
5613,9
5615,10
5616,1
5617,5
5620,10
5621,8
5623,5
5626,8
5639,5
5642,11
5643,8
5650,26
5656,2
5658,4
5659,11
5660,4
5662,4
5665,1
5669,5
5670,7
5671,14
5680,8
5681,3
5684,2
5685,5
5686,4
5687,4
5688,3
5689,8
5691,1
5692,1
5697,9
5701,1
5705,6
5706,8
5715,30
5719,2
5726,8
5744,12
5745,13
5749,9
5763,11
5766,11
5767,1
5776,4
5780,8
5782,10
5785,4
5786,18
5796,17
5802,8
5807,18
5809,2
5814,5
5816,18
5818,9
5825,23
5826,47
5828,16
5833,3
5839,28
5844,18
5847,21
5870,15
5872,19
5873,77
5876,7
5878,30
5881,9
5882,34
5886,40
5891,4
5892,24
5898,14
5903,23
5906,2
5907,20
5908,15
5910,12
5911,24
5916,2
5919,6
5922,88
5924,12
5926,15
5930,9
5931,2
5933,12
5939,14
5943,1
5948,17
5951,4
5954,15
5958,14
5961,16
5962,20
5965,11
5966,1
5969,16
5971,4
5973,11
5975,16
5980,38
5984,18
5986,5
5995,2
5998,59
6004,14
6008,46
6011,7
6013,76
6018,9
6020,11
6026,12
6033,31
6038,1
6046,18
6058,66
6089,1
6091,11
6093,9
6094,2
6096,27
6097,10
6099,12
6101,75
6105,17
6109,14
6111,64
6115,53
6118,4
6124,22
6131,1
6132,3
6136,5
6141,15
6145,1
6148,3
6151,3
6153,23
6155,10
6157,7
6159,9
6163,28
6167,25
6172,6
6175,1
6177,1
6181,4
6182,18
6191,4
6194,9
6197,1
6203,1
6204,10
6206,11
6207,3
6208,6
6210,15
6211,12
6212,10
6213,9
6214,3
6215,1
6216,13
6218,16
6219,8
6220,6
6222,3
6223,1
6224,4
6225,5
6226,17
6227,1
6228,2
6229,1
6230,23
6232,12
6234,4
6235,16
6237,7
6242,17
6244,16
6248,10
6251,21
6254,18
6257,9
6258,8
6259,15
6261,17
6267,29
6271,17
6282,8
6285,9
6286,8
6289,3
6294,10
6296,10
6305,3
6314,18
6317,17
6319,17
6326,10
6328,11
6334,9
6352,13
6361,14
6362,11
6365,7
6367,13
6368,10
6374,3
6388,16
6392,13
6396,17
6405,5
6407,11
6417,11
6420,3
6421,4
6422,8
6423,6
6424,13
6428,9
6429,4
6441,3
6445,2
6446,17
6450,2
6451,9
6453,3
6454,6
6455,6
6458,1
6460,9
6462,13
6463,12
6466,14
6468,47
6471,1
6474,34
6479,16
6483,18
6486,1
6488,1
6489,3
6491,35
6494,4
6495,20
6500,15
6502,5
6505,28
6507,10
6508,10
6510,2
6513,13
6514,1
6515,10
6517,20
6518,16
6519,4
6520,5
6523,3
6524,2
6525,16
6527,6
6528,5
6529,21
6532,6
6533,9
6534,8
6536,5
6537,2
6538,7
6539,13
6540,20
6543,1
6550,10
6551,2
6554,16
6555,1
6557,4
6558,11
6559,3
6560,4
6562,2
6563,13
6568,7
6572,5
6573,19
6596,20
6598,7
6599,3
6600,7
6603,1
6605,8
6609,9
6610,8
6611,20
6613,5
6619,2
6623,19
6628,15
6629,13
6632,21
6635,11
6637,15
6638,10
6640,10
6642,14
6645,16
6647,12
6650,19
6653,13
6654,14
6657,29
6658,7
6662,23
6665,19
6667,8
6668,4
6669,21
6677,32
6678,19
6679,4
6680,2
6681,1
6683,23
6690,4
6696,14
6699,11
6708,22
6710,12
6711,1
6713,5
6715,2
6720,3
6722,25
6724,1
6725,1
6728,40
6732,14
6734,29
6736,19
6739,27
6742,24
6746,34
6747,23
6748,32
6750,13
6751,18
6754,38
6762,1
6763,5
6765,5
6768,3
6769,55
6774,31
6776,16
6780,26
6784,35
6785,19
6789,27
6790,38
6794,32
6795,24
6797,29
6802,11
6809,7
6819,8
6820,8
6825,5
6830,6
6831,5
