"CD_REF","clus_ward_cut"
79319,7
79691,7
79734,7
79766,7
79887,3
79908,7
79913,3
79921,6
79939,6
80007,5
80034,5
80037,7
80066,2
80086,5
80137,6
80212,7
80240,5
80322,7
80358,7
80383,7
80410,7
80417,7
80546,7
80824,7
80978,6
80980,6
80988,7
80990,7
81027,6
81033,6
81287,3
81295,7
81499,7
81508,7
81541,7
81543,6
81563,7
81569,7
81570,6
81856,7
82018,7
82080,7
82130,7
82391,6
82637,7
82656,7
82738,7
82796,6
82922,7
82952,7
82999,7
83058,7
83195,7
83267,7
83481,7
83499,7
83502,7
83528,6
83653,7
83714,7
83777,7
83793,6
83832,6
83866,7
83874,6
83912,7
83933,7
83938,7
83969,2
83973,2
83974,1
84003,3
84053,3
84061,7
84110,7
84112,7
84135,6
84173,7
84195,3
84230,6
84251,6
84279,7
84306,6
84330,5
84338,6
84458,7
84472,7
84524,7
84936,6
85152,7
85502,7
85740,7
85745,7
85774,7
85820,7
85852,6
85903,7
85904,6
85972,4
86081,6
86087,7
86156,7
86490,7
86828,7
86890,7
86969,7
87044,7
87143,7
87420,7
87501,7
87540,6
87690,7
87712,7
87720,6
87742,6
87849,7
87964,6
89147,5
89180,7
89200,6
89232,7
89250,6
89304,7
89452,7
89468,7
89531,5
89542,7
89619,7
89653,6
89840,7
89888,7
90234,7
90470,6
90669,7
90681,7
90836,7
90954,7
91169,7
91199,5
91289,7
91410,6
91680,6
91880,7
91886,7
91904,7
91910,7
91912,7
92052,4
92127,7
92196,7
92237,7
92282,7
92302,7
92353,7
92467,6
92488,7
92497,6
92501,7
92566,7
92606,7
92631,6
92824,6
92854,6
92864,7
92876,7
93045,7
93129,7
93157,7
93190,7
93308,7
93590,7
93621,7
93623,7
93673,6
93680,7
93708,6
93803,7
93840,7
93967,7
94011,7
94164,7
94207,7
94266,7
94427,7
94432,7
94435,7
94489,7
94503,7
94572,6
94590,1
94626,6
94645,6
94716,6
94923,6
94945,7
94959,7
95136,7
95149,7
95186,7
95187,7
95239,6
95425,7
95436,4
95438,6
95442,7
95461,6
95567,7
95662,7
95793,7
95806,5
96046,7
96101,7
96180,7
96208,7
96226,6
96229,7
96251,6
96271,7
96508,7
96523,6
96534,7
96545,6
96546,7
96664,6
96665,5
96667,6
96691,7
96698,6
96749,7
96895,7
97141,7
97185,7
97434,7
97452,7
97490,7
97537,7
97556,7
97601,6
97776,6
97781,6
97947,7
98020,6
98023,2
98651,7
98653,7
98717,6
98718,6
98756,7
98865,7
98887,7
98910,7
98921,7
98933,7
98977,6
99108,7
99233,6
99244,6
99260,6
99305,6
99329,6
99334,6
99358,7
99366,7
99373,7
99473,7
99488,7
99494,7
99582,6
99721,6
99735,6
99815,7
99828,7
99854,6
99881,6
99903,7
99922,6
99929,5
99953,4
100142,7
100144,7
100149,7
100208,7
100215,6
100225,7
100310,7
100335,4
100576,7
100613,6
100787,7
100956,7
101080,7
101101,7
101144,7
101188,7
101202,7
101253,7
101300,6
101405,3
101411,6
101412,7
101460,6
102235,7
102671,6
102863,6
103031,7
103057,6
103162,6
103178,6
103185,7
103245,7
103308,5
103316,7
103320,7
103329,7
103375,7
103406,6
103514,7
103553,6
103578,6
103627,6
103737,7
103772,7
103817,7
103985,6
104173,7
104397,7
104409,7
104413,6
104419,7
104502,7
104516,7
104764,7
104775,7
104786,6
104787,7
104854,7
104855,7
104876,7
104889,6
104903,7
105017,7
105042,7
105211,7
105266,7
105295,7
105297,6
105312,6
105321,7
105427,6
105431,7
105621,7
105817,7
105966,7
105979,7
105989,7
106213,7
106234,7
106288,7
106396,7
106546,7
106565,7
106574,6
106581,6
106595,6
106653,7
106965,7
107038,7
107073,7
107090,7
107117,7
107217,7
107224,7
107282,7
107318,7
107397,7
107440,7
107446,6
107786,6
107886,7
107887,6
107942,7
107992,7
108003,7
108027,7
108029,7
108103,6
108138,7
108168,7
108345,7
108351,7
108361,7
108454,6
108996,7
109104,7
109130,6
109161,6
109186,7
109291,6
109297,7
109422,7
109506,7
109620,6
109625,7
109732,6
109735,3
109750,7
109861,6
109911,7
110211,7
110236,7
110244,7
110914,7
111289,7
111391,7
111771,6
111815,7
111859,7
111974,4
112042,6
112061,7
112303,7
112355,7
112410,7
112413,7
112421,7
112426,6
112467,6
112550,6
112590,5
112601,6
112739,7
112745,7
112783,6
112816,7
113221,7
113260,7
113321,6
113418,7
113432,7
113525,7
113579,6
113596,6
113651,5
113665,7
113682,6
113689,7
113690,7
113703,6
113744,7
113804,6
113809,7
113842,7
113893,7
113904,7
113924,1
113957,6
114080,7
114595,7
114611,6
114612,7
114658,7
115016,7
115110,7
115145,7
115156,7
115215,7
115280,7
115407,7
115470,7
115624,7
115789,7
115813,7
115865,6
115868,6
115918,7
116012,7
116043,7
116089,7
116096,7
116109,6
116142,7
116216,7
116265,7
116392,7
116407,6
116412,4
116416,6
116422,6
116459,4
116460,7
116547,6
116574,7
116704,7
116751,7
116754,7
116759,7
116876,6
116903,7
116952,7
117125,6
117201,7
117224,7
117459,7
117503,7
117530,7
117668,4
117679,6
117712,6
117774,7
117787,6
117806,7
118016,7
118073,7
118397,6
118916,7
118920,6
119097,7
119149,7
119418,7
119419,7
119435,6
119473,7
119550,7
119558,6
119698,7
119860,7
119881,6
119883,6
119892,5
119915,7
119977,7
120135,6
120189,7
120642,2
120643,7
120678,7
120685,7
120712,7
120717,7
120720,6
120758,6
120772,7
120785,5
120786,1
120823,7
120824,7
120908,7
121065,6
121334,7
121449,7
121606,6
121823,7
121999,7
122028,7
122069,7
122101,7
122106,7
122140,7
122243,7
122419,7
122467,7
122493,7
122593,5
122675,7
122714,3
122726,6
122745,7
122971,6
123258,4
123683,7
123705,7
123711,7
123713,7
123863,7
124034,7
124080,7
124139,6
124164,7
124168,6
124205,7
124232,6
124233,7
124308,7
124453,7
124499,7
124578,7
124741,6
124744,7
124798,7
124814,7
124848,2
124970,7
125014,7
125295,6
125324,6
125343,7
125355,6
125426,7
125469,7
125474,7
125568,7
125816,7
125981,7
126006,6
126008,6
126019,7
126035,7
126552,3
126573,7
126582,7
126628,7
126650,7
127029,7
127131,6
127219,6
127230,7
127439,7
127872,6
128042,7
128077,7
