"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
79319,"Abies alba Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
79691,"Acacia dealbata Link, 1822",1,1,1,1,1,1,1,1,1,1,1
79734,"Acer campestre L., 1753",1,1,1,1,1,1,1,1,1,1,1
79766,"Acer negundo L., 1753",1,1,1,1,1,1,1,1,1,1,1
79887,"Achillea erba-rotta All., 1773",1,1,1,1,1,1,1,1,1,1,1
79908,"Achillea millefolium L., 1753",1,1,1,1,1,1,1,1,1,1,1
79913,"Achillea nana L., 1753",1,1,1,1,1,1,1,1,1,1,1
79921,"Achillea ptarmica L., 1753",1,1,1,1,1,1,1,1,1,1,1
79939,"Achillea tomentosa L., 1753",1,1,1,1,1,1,1,1,1,1,1
80007,"Aconitum anthora L., 1753",1,1,1,1,1,1,1,1,1,1,1
80034,"Aconitum lycoctonum L., 1753",1,1,1,1,1,1,1,1,1,1,1
80037,"Aconitum napellus L., 1753",1,1,1,1,1,1,1,1,1,1,1
80066,"Aconitum variegatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
80086,"Acorus calamus L., 1753",1,1,1,1,1,1,1,1,1,1,1
80137,"Actaea spicata L., 1753",1,1,1,1,1,1,1,1,1,1,1
80212,"Adonis annua L., 1753 [nom. et typ. cons.]",1,1,1,1,1,1,1,1,1,1,1
80240,"Adonis vernalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
80322,"Aegopodium podagraria L., 1753",1,1,1,1,1,1,1,1,1,1,1
80358,"Aethusa cynapium L., 1753",1,1,1,1,1,1,1,1,1,1,1
80383,"Agave americana L., 1753",1,1,1,1,1,1,1,1,1,1,1
80410,"Agrimonia eupatoria L., 1753",1,1,1,1,1,1,1,1,1,1,1
80417,"Agrimonia procera Wallr., 1840",1,1,1,1,1,1,1,1,1,1,1
80546,"Agrostemma githago L., 1753",1,1,1,1,1,1,1,1,1,1,1
80824,"Ailanthus altissima (Mill.) Swingle, 1916",1,1,1,1,1,1,1,1,1,1,1
80978,"Ajuga chamaepitys (L.) Schreb., 1773",1,1,1,1,1,1,1,1,1,1,1
80980,"Ajuga genevensis L., 1753",1,1,1,1,1,1,1,1,1,1,1
80988,"Ajuga pyramidalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
80990,"Ajuga reptans L., 1753",1,1,1,1,1,1,1,1,1,1,1
81027,"Alchemilla acutiloba Opiz, 1838",1,1,1,1,1,1,1,1,1,1,1
81033,"Alchemilla alpina L., 1753",1,1,1,1,1,1,1,1,1,1,1
81287,"Alkanna matthioli Tausch, 1824",1,1,1,1,1,1,1,1,1,1,1
81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",1,1,1,1,1,1,1,1,1,1,1
81499,"Allium roseum L., 1753",1,1,1,1,1,1,1,1,1,1,1
81508,"Allium schoenoprasum L., 1753",1,1,1,1,1,1,1,1,1,1,1
81541,"Allium ursinum L., 1753",1,1,1,1,1,1,1,1,1,1,1
81543,"Allium victorialis L., 1753",1,1,1,1,1,1,1,1,1,1,1
81563,"Alnus alnobetula (Ehrh.) K.Koch, 1872",1,1,1,1,1,1,1,1,1,1,1
81569,"Alnus glutinosa (L.) Gaertn., 1790",1,1,1,1,1,1,1,1,1,1,1
81570,"Alnus incana (L.) Moench, 1794",1,1,1,1,1,1,1,1,1,1,1
81856,"Althaea officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
82018,"Amaranthus retroflexus L., 1753",1,1,1,1,1,1,1,1,1,1,1
82080,"Ambrosia artemisiifolia L., 1753",1,1,1,1,1,1,1,1,1,1,1
82130,"Ammi majus L., 1753",1,1,1,1,1,1,1,1,1,1,1
