CD_REF,NOM_VALIDE,binomial_acc_name,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses
79319,"Abies alba Mill., 1768",Abies alba,0,0,0,0,0,0,1,1,0,0
79691,"Acacia dealbata Link, 1822",Acacia dealbata,0,1,1,1,1,1,1,1,0,0
79734,"Acer campestre L., 1753",Acer campestre,0,1,0,0,0,0,1,1,0,0
79766,"Acer negundo L., 1753",Acer negundo,0,1,1,0,0,0,1,1,0,0
79887,"Achillea erba-rotta All., 1773",Achillea erba-rotta,0,0,0,0,0,0,0,1,0,0
79908,"Achillea millefolium L., 1753",Achillea millefolium,1,1,0,1,1,0,1,1,1,1
79913,"Achillea nana L., 1753",Achillea nana,0,0,0,0,0,0,0,1,0,0
79921,"Achillea ptarmica L., 1753",Achillea ptarmica,0,1,0,0,0,0,0,1,0,0
80007,"Aconitum anthora L., 1753",Aconitum anthora,0,1,0,0,0,0,0,1,0,0
80034,"Aconitum lycoctonum L., 1753",Aconitum lycoctonum,0,0,0,0,0,0,0,1,0,0
80037,"Aconitum napellus L., 1753",Aconitum napellus,0,1,0,0,0,0,1,1,1,0
80066,"Aconitum variegatum L., 1753",Aconitum variegatum,0,1,0,0,0,0,0,1,0,0
80086,"Acorus calamus L., 1753",Acorus calamus,0,1,0,1,1,1,1,1,1,1
80137,"Actaea spicata L., 1753",Actaea spicata,0,0,0,0,0,0,0,1,1,0
447951,"Adiantum capillus-veneris L., 1753",Adiantum capillus-veneris,0,1,0,1,1,0,0,1,0,1
80212,"Adonis annua L., 1753 [nom. et typ. cons.]",Adonis annua,0,1,0,0,0,0,0,1,1,0
80240,"Adonis vernalis L., 1753",Adonis vernalis,0,1,0,0,0,0,1,1,1,0
80322,"Aegopodium podagraria L., 1753",Aegopodium podagraria,0,1,0,0,0,0,0,1,0,0
80358,"Aethusa cynapium L., 1753",Aethusa cynapium,0,0,0,0,0,0,0,1,1,0
80383,"Agave americana L., 1753",Agave americana,0,1,0,0,1,1,1,1,1,1
80410,"Agrimonia eupatoria L., 1753",Agrimonia eupatoria,0,0,0,0,1,0,1,1,1,0
80417,"Agrimonia procera Wallr., 1840",Agrimonia procera,0,1,0,0,0,0,0,1,0,0
80546,"Agrostemma githago L., 1753",Agrostemma githago,0,1,0,0,0,0,0,1,1,0
80824,"Ailanthus altissima (Mill.) Swingle, 1916",Ailanthus altissima,1,1,1,0,0,0,1,1,1,0
80978,"Ajuga chamaepitys (L.) Schreb., 1773",Ajuga chamaepitys,0,0,0,0,0,0,0,1,0,0
80980,"Ajuga genevensis L., 1753",Ajuga genevensis,0,0,0,0,0,0,0,1,0,0
