"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Abies alba Mill., 1768",79319,0,2,1,3,0,1
"Acacia dealbata Link, 1822",79691,0,1,1,1,1,1
"Acer campestre L., 1753",79734,0,2,1,3,0,2
"Acer negundo L., 1753",79766,0,2,1,3,0,2
"Achillea erba-rotta All., 1773",79887,0,0,0,1,0,0
"Achillea millefolium L., 1753",79908,0,1,3,3,0,3
"Achillea nana L., 1753",79913,0,0,1,2,0,1
"Achillea ptarmica L., 1753",79921,0,0,0,3,0,2
"Achillea tomentosa L., 1753",79939,0,0,0,1,0,0
"Aconitum anthora L., 1753",80007,0,0,0,2,0,1
"Aconitum lycoctonum L., 1753",80034,0,0,0,2,0,0
"Aconitum napellus L., 1753",80037,0,1,0,3,0,1
"Aconitum variegatum L., 1753",80066,0,0,0,1,0,1
"Acorus calamus L., 1753",80086,0,1,2,2,0,1
"Actaea spicata L., 1753",80137,0,0,0,3,0,1
"Adiantum capillus-veneris L., 1753",447951,0,0,2,2,0,2
"Adonis annua L., 1753 [nom. et typ. cons.]",80212,0,0,0,2,0,1
"Adonis vernalis L., 1753",80240,0,1,0,2,0,1
"Aegopodium podagraria L., 1753",80322,0,0,1,3,0,2
"Aethusa cynapium L., 1753",80358,0,0,0,3,0,2
"Agave americana L., 1753",80383,0,1,1,2,1,1
"Agrimonia eupatoria L., 1753",80410,0,1,2,3,0,2
"Agrimonia procera Wallr., 1840",80417,0,0,0,2,0,1
"Agrostemma githago L., 1753",80546,0,0,0,3,0,2
"Ailanthus altissima (Mill.) Swingle, 1916",80824,0,2,0,3,1,2
"Ajuga chamaepitys (L.) Schreb., 1773",80978,0,0,0,3,0,0
"Ajuga genevensis L., 1753",80980,0,0,0,1,0,0
"Ajuga pyramidalis L., 1753",80988,0,0,0,1,0,0
"Ajuga reptans L., 1753",80990,0,0,0,3,0,1
"Alchemilla acutiloba Opiz, 1838",81027,0,0,0,1,0,0
"Alchemilla alpina L., 1753",81033,0,0,1,3,0,1
"Alkanna matthioli Tausch, 1824",81287,0,1,0,2,0,1
"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",81295,0,0,2,3,0,0
"Allium roseum L., 1753",81499,0,0,1,2,0,1
"Allium schoenoprasum L., 1753",81508,0,0,2,3,0,2
"Allium ursinum L., 1753",81541,0,0,2,4,0,1
"Allium victorialis L., 1753",81543,0,0,2,3,0,0
"Alnus alnobetula (Ehrh.) K.Koch, 1872",81563,0,1,0,1,0,0
"Alnus glutinosa (L.) Gaertn., 1790",81569,0,2,1,3,1,2
"Alnus incana (L.) Moench, 1794",81570,0,2,0,2,1,2
"Althaea officinalis L., 1753",81856,0,1,3,3,0,2
"Amaranthus retroflexus L., 1753",82018,0,0,1,2,0,2
"Ambrosia artemisiifolia L., 1753",82080,0,0,0,1,0,1
"Ammi majus L., 1753",82130,0,0,1,2,0,3
"Anchusa azurea Mill., 1768",618756,0,1,1,3,0,1
"Anchusa officinalis L., 1753",82391,0,1,1,3,0,1
"Anemone nemorosa L., 1753",82637,0,0,0,3,0,1
"Anemone ranunculoides L., 1753",82656,0,0,0,2,0,1
"Angelica sylvestris L., 1753",82738,0,0,2,3,0,2
"Antennaria dioica (L.) Gaertn., 1791",82796,0,0,0,3,0,1
"Anthoxanthum odoratum L., 1753",82922,0,1,1,3,0,1
"Anthriscus sylvestris (L.) Hoffm., 1814",82952,0,1,2,3,0,1
