"NOM_VALIDE","CD_REF","SOURCE","SELECTED_TYPOLOGY_ENG"
"Achillea millefolium L., 1753",79908,"KEW","Other"
"Ailanthus altissima (Mill.) Swingle, 1916",80824,"KEW","Other"
"Lysimachia arvensis (L.) U.Manns & Anderb., 2009",610909,"KEW","Other"
"Anthyllis vulneraria L., 1753",82999,"KEW","Other"
"Apium graveolens L., 1753",83195,"KEW","Other"
"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",117874,"KEW","Other"
"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819",83912,"KEW","Other"
"Arundo donax L., 1753",84173,"KEW","Other"
"Beta vulgaris L., 1753",85820,"KEW","Other"
"Bidens pilosa L., 1753",85972,"KEW","Other"
"Briza media L., 1753",86490,"KEW","Other"
"Capsella bursa-pastoris (L.) Medik., 1792",87849,"KEW","Other"
"Carum carvi L., 1753",89250,"KEW","Other"
"Ceratonia siliqua L., 1753",447038,"KEW","Other"
"Chenopodium album L., 1753",90681,"KEW","Other"
"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",611753,"KEW","Other"
"Cichorium intybus L., 1753",91169,"KEW","Other"
"Colutea arborescens L., 1753",92196,"KEW","Other"
"Cynodon dactylon (L.) Pers., 1805",93803,"KEW","Other"
"Cyperus longus L., 1753",93967,"KEW","Other"
"Cyperus rotundus L., 1753",94011,"KEW","Other"
"Dactylis glomerata L., 1753",94207,"KEW","Other"
"Daucus carota L., 1753",94503,"KEW","Other"
"Deschampsia cespitosa (L.) P.Beauv., 1812",94626,"KEW","Other"
"Charybdis maritima (L.) Speta, 1998",161772,"KEW","Other"
"Eclipta prostrata (L.) L., 1771",95806,"KEW","Other"
"Elytrigia repens (L.) Desv. ex Nevski, 1934",96046,"KEW","Other"
"Erodium cicutarium (L.) L'Hér., 1789",96895,"KEW","Other"
"Reynoutria japonica Houtt., 1777",117503,"KEW","Other"
"Ficus carica L., 1753",98653,"KEW","Other"
"Foeniculum vulgare Mill., 1768",98756,"KEW","Other"
"Galega officinalis L., 1753",99260,"KEW","Other"
"Galinsoga parviflora Cav., 1795",99358,"KEW","Other"
"Globularia alypum L., 1753",100335,"KEW","Other"
"Juncus effusus L., 1753",104173,"KEW","Other"
"Juniperus oxycedrus L., 1753",104409,"KEW","Other"
"Lemna gibba L., 1753",105427,"KEW","Other"
