"FAMILLE","USE","weight","nb_species","percentage"
"Acanthaceae","No recorded use",NA,2,100
"Acoraceae","Crafts",1,1,25
"Acoraceae","Food and Beverages",2,1,25
"Acoraceae","Medical Therapeutic",2,1,25
"Acoraceae","Other",1,1,25
"Aizoaceae","No recorded use",NA,11,100
"Alismataceae","Food and Beverages",1,1,33
"Alismataceae","Medical Therapeutic",3,1,33
"Alismataceae","Other",2,1,33
"Alismataceae","No recorded use",NA,11,79
"Altingiaceae","No recorded use",NA,1,100
"Amaranthaceae","Crafts",4,4,14
"Amaranthaceae","Food and Beverages",12,8,28
"Amaranthaceae","Medical Therapeutic",17,9,31
"Amaranthaceae","Other",10,8,28
"Amaranthaceae","No recorded use",NA,64,69
"Amaryllidaceae","Cosmetics",3,2,8
"Amaryllidaceae","Crafts",1,1,4
"Amaryllidaceae","Food and Beverages",9,6,25
"Amaryllidaceae","Medical Therapeutic",22,7,29
"Amaryllidaceae","Ornamental Plants",2,2,8
"Amaryllidaceae","Other",8,6,25
"Amaryllidaceae","No recorded use",NA,69,74
"Anacardiaceae","Crafts",4,3,25
"Anacardiaceae","Food and Beverages",5,3,25
"Anacardiaceae","Medical Therapeutic",9,3,25
"Anacardiaceae","Other",5,3,25
"Anacardiaceae","No recorded use",NA,5,29
"Apiaceae","Crafts",13,13,16
"Apiaceae","Food and Beverages",35,18,22
"Apiaceae","Medical Therapeutic",73,28,34
"Apiaceae","Other",40,23,28
"Apiaceae","No recorded use",NA,191,70
"Apocynaceae","Crafts",1,1,10
"Apocynaceae","Food and Beverages",2,1,10
"Apocynaceae","Medical Therapeutic",12,4,40
"Apocynaceae","Other",5,4,40
"Apocynaceae","No recorded use",NA,8,44
"Aponogetonaceae","No recorded use",NA,1,100
"Aquifoliaceae","Crafts",2,1,25
"Aquifoliaceae","Food and Beverages",1,1,25
"Aquifoliaceae","Medical Therapeutic",3,1,25
"Aquifoliaceae","Other",2,1,25
"Araceae","Crafts",2,2,17
"Araceae","Food and Beverages",1,1,8
"Araceae","Medical Therapeutic",8,4,33
"Araceae","Other",7,5,42
"Araceae","No recorded use",NA,15,56
"Araliaceae","Crafts",2,1,33
"Araliaceae","Medical Therapeutic",2,1,33
"Araliaceae","Other",2,1,33
"Araliaceae","No recorded use",NA,5,62
"Araucariaceae","No recorded use",NA,1,100
"Arecaceae","No recorded use",NA,6,100
"Aristolochiaceae","Medical Therapeutic",6,2,100
"Aristolochiaceae","No recorded use",NA,5,71
"Asaraceae","Crafts",1,1,50
"Asaraceae","Medical Therapeutic",3,1,50
"Asparagaceae","Cosmetics",1,1,3
"Asparagaceae","Crafts",5,5,16
"Asparagaceae","Food and Beverages",8,4,12
"Asparagaceae","Medical Therapeutic",23,10,31
"Asparagaceae","Ornamental Plants",2,2,6
"Asparagaceae","Other",10,10,31
"Asparagaceae","No recorded use",NA,56,64
"Asphodelaceae","Medical Therapeutic",2,1,50
"Asphodelaceae","Other",1,1,50
"Asphodelaceae","No recorded use",NA,10,83
"Aspleniaceae","Medical Therapeutic",8,3,75
"Aspleniaceae","Other",2,1,25
"Aspleniaceae","No recorded use",NA,17,81
"Asteraceae","Cosmetics",2,2,1
"Asteraceae","Crafts",26,26,12
"Asteraceae","Food and Beverages",80,46,21
"Asteraceae","Medical Therapeutic",199,87,39
"Asteraceae","Ornamental Plants",1,1,0
"Asteraceae","Other",75,59,27
"Asteraceae","No recorded use",NA,969,81
"Athyriaceae","No recorded use",NA,2,100
"Balsaminaceae","Crafts",1,1,20
"Balsaminaceae","Food and Beverages",2,1,20
"Balsaminaceae","Medical Therapeutic",5,2,40
"Balsaminaceae","Other",1,1,20
"Balsaminaceae","No recorded use",NA,4,44
"Basellaceae","No recorded use",NA,1,100
"Berberidaceae","Crafts",3,1,25
"Berberidaceae","Food and Beverages",3,1,25
"Berberidaceae","Medical Therapeutic",3,1,25
