ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
AnimalFood,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
EnvironmentalUses,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
Fuels,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
GeneSources,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
HumanFood,,KEW World Checklist of Useful Plant Species,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
InvertebrateFood,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
Materials,,KEW World Checklist of Useful Plant Species,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Medicines,,KEW World Checklist of Useful Plant Species,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Poisons,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
SocialUses,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
divers,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
alimentaire,,Référentiel usages Laurence Chabert CBNMED,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
artisanat,,Référentiel usages Laurence Chabert CBNMED,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
medical,,Référentiel usages Laurence Chabert CBNMED,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
parfumerie,,Référentiel usages Laurence Chabert CBNMED,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
cultivable,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
cosmetique,,Référentiel usages Laurence Chabert CBNMED,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
menager,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
agricole,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
RD,"Recherche : Bio prospection, développement, expérimental",CBN,Autre,non précisé,Other,not specified
AL,"Transformation alimentaire : Préparations alimentaires, condiments, humains ou vétérinaires",CBN,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
DI,Liquoristerie,CBN,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
FA,"Fabrication : Vannerie, tournage sur bois",CBN,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
