LB_NOM,CD_REF,mean_LA,mean_LDMC,mean_SLA
Abutilon theophrasti,79684,14784.6618571429,22.091026722141,23.1445983852606
Acer campestre,79734,3141.74058030303,33.5548016912242,16.5601884379624
Acer pseudoplatanus,79783,8215.05294799499,35.8479419135365,14.7683968449463
Aconitum anthora,80007,1689.9125,16.6987333333333,43.366875
Aegopodium podagraria,80322,12997.668,21.5510198212,28.8082876706941
Aethionema saxatile,80350,142.4632,25.9692,12.3000864010086
Agrimonia eupatoria,80410,6346.28,35.0951252746154,17.4053093434444
Agrostemma githago,80546,634.569596842105,24.1925975456424,15.4138627384549
Agrostis alpina,80564,24.3208298728,46.4923362090909,7.2191722628936
Agrostis stolonifera,80759,237.964845032381,33.9874569260555,28.4642307441034
Ajuga chamaepitys,80978,92.696785625,16.7255814528737,22.266522677488
Albizia julibrissin,447347,41309.25645,38.5786864684493,20.6081456581357
Alchemilla glaucescens,81091,2039.35115384615,27.933286977955,18.5810311794171
Alchemilla subglobosa,717722,2397.89,24.3984,20.855
Alisma gramineum,81260,5246.07625,6.055,22.988
Alkanna matthioli,81287,149.045454545455,26.3555555555556,15.6715037164094
Allium angulosum,81316,464.25,15.356,11.46
Allium carinatum,81336,1098.134,11.10075,25.5730415508217
Allium flavum,81376,465.888888888889,27.193,4.7965
Allium scorodoprasum,81510,1164.3,20.7472,4.69
Allium ursinum,81541,5252.56658094444,8.65327050488213,48.8267546871257
Alnus incana,81570,1799.0244176488,29.7458595766102,17.7295873028659
Alopecurus geniculatus,81637,293.754481807407,25.6830632794902,23.612003782783
Alopecurus myosuroides,81648,630.583333333333,27.1666666666667,27.00857142875
Alopecurus pratensis,81656,1056.02825439647,30.3921723882087,24.2904885299256
Alternanthera philoxeroides,81831,592.870967741935,13.4606016048584,29.0678034668478
Amaranthus blitum,81966,291.639444444444,8.55141666666667,37.4266666666667
Amaranthus cruentus,81976,2932.6,15.969,20.02
Amaranthus hybridus,81992,1114.79975821957,12.9258978692775,33.4614325457009
Ambrosia psilostachya,610847,389.283450806638,22.4398925043129,17.3269258172752
Ammannia coccinea,82120,676.723116666667,16.3686701149842,20.6940942832529
Anacamptis coriophora,82282,894.133333333333,11.1224,27.7233333333333
Anacamptis pyramidalis,82288,1107.68335294118,11.6245545870907,33.0560415060146
Anarrhinum bellidifolium,82356,646.030833333333,20.1940454545455,14.9722222222222
Andromeda polifolia,82420,44.7998907452941,44.5757021164172,7.08226295646575
Androsace alpina,82478,3.91,21.949,21.038666666
Androsace lactea,82509,116.4375,16.4175833333333,24.26
Androsace obtusifolia,82519,17.1687989952381,20.2579471428181,12.5512470010644
Androsace vitaliana,82545,4.81,29.9891603927273,3.48275109381818
Andryala ragusina,82571,525,38.01,13.82
Antennaria carpatica,82794,74.7370636327273,29.0552381923077,13.9171593975
Anthericum liliago,82903,3336.45,16.2546,17.912
Anthericum ramosum,82909,1587.981,18.865275880609,18.7805321374123
Anthoxanthum aristatum,82916,266.9,22.60725,27.2106077820228
Anthoxanthum odoratum,82922,484.765013132686,27.7950889267618,26.4893588672832
Anthriscus caucalis,82931,3649.4,16.93394,34.09849230875
Anthyllis barba-jovis,82965,636.302684,22.2494212132593,8.33134265780265
Aphanes arvensis,83159,42.156709,26.6270294907795,26.4388608121915
Aposeris foetida,83234,2938.23946,9.2672873325303,54.0819474482685
Arabidopsis arenosa,610746,143.30770833125,19.8184210526316,27.3627777777778
Arabis alpina,83279,291.257327025,13.7315528903635,20.8458552170594
Arctium minus,83502,45602.8958333333,16.7247945490509,25.1950618350821
Arctium nemorosum,83503,74857.31,12.988,25.245
Arctium tomentosum,83507,69452.58001,14.0435127064059,16.0923656135134
Argyrolobium zanonii,83722,124.72,26.192,9.83
Aristolochia pallida,83789,329.31,21.2959202896542,41.676626723859
Armeria alpina,83808,52.5475,19.6284,16.458
Armeria maritima,83832,153.403757575758,26.963,13.451324304161
Arnica montana,83874,1678.85540333333,16.3107751539475,18.4159629006346
Arnoseris minima,83890,1181.7,9.8556,32.14
Artemisia campestris,83953,251.306253041667,23.3553805570622,16.4996267541792
Artemisia pontica,84021,187.968,40.7005555555556,17.7680943825455
Artemisia verlotiorum,84057,1467.566832,33.4057711106783,11.9178134504316
Artemisia vulgaris,84061,2755.69784969192,23.6289159293465,25.5043909466969
Asclepias syriaca,84251,7195.98120186581,19.9649320964157,15.526539695892
Asparagus acutifolius,84264,5.0387962962963,55.31,5.7645625
Asperula aristata,84296,24.8989,22.0710209634671,16.1283166547079
Asperula arvensis,84297,66.8833333333333,23.4626666666666,19.8384
Asperula purpurea,84319,12.1792183333333,30.4183096258388,14.8581835832473
Asphodelus albus,84338,7042.66666666667,17.5504,8.51
Asphodelus fistulosus,84355,1159.36833333333,8.09333333333333,9.05333333333333
Asplenium ceterach,84472,761.857142857143,21.9903818003576,18.335533687839
Asplenium viride,84540,667.68375,25.2968,28.6748874561543
Astragalus hamosus,84846,7042.75,21.368,15.21
Astragalus stella,84904,30.8279066666667,24.1737951711573,15.9851618525628
Athyrium filix-femina,84999,48927.8907727273,15.2881700188634,42.4629871029045
Atractylis humilis,85023,151.933333333333,31.537,6.59154142691691
Atriplex laciniata,85079,1630.0375,21.1227142857143,16.43
Atriplex patula,85102,1338.96527775,16.4013888888889,16.6055271481143
Avena sterilis,85374,1553.36151818182,20.5333955787326,26.564938358419
Avena strigosa,85378,2387.37969376667,19.8913582747353,30.913506804977
Barbarea intermedia,85536,2406.229166625,14.864,23.9795555555556
Bartsia alpina,85602,138.084522374,25.6637772119779,14.6907949651407
Bellis annua,85728,125,11.49008592,32.90599883
Bellis perennis,85740,836.254614841975,13.3285182798388,31.8835549594043
Berberis vulgaris,85774,376.067762382436,34.0202194810717,17.3622422543168
Bidens connata,85949,819.123333333333,13.5769109478903,40.0568158542378
Bidens frondosa,85957,2829.04494240909,16.6441145810485,37.3239141249636
Bidens pilosa,85972,2886.65322580645,17.1994281642407,44.0130169413024
Bidens radiata,85978,9573.75,12.9510961538462,31.9822222222222
Bifora radians,85997,1391.35,12.9265,43.87
Bistorta officinalis,86081,2194.95229306466,22.4194278461338,18.2932175147646
Bistorta vivipara,86082,295.936257744225,21.8286344000612,15.1738826784234
Bituminaria bituminosa,86083,342.618333333333,28.8354359385415,16.0663532290668
Blackstonia acuminata,86084,79.38,16.259,30.3075
Blackstonia perfoliata,86087,440.26625,21.855125,29.28032889711
Blysmus compressus,86124,309.783228254861,28.3749391797226,14.9685345452495
Borago officinalis,86156,2211.74346153846,14.162,18.8193287476961
Brachypodium distachyon,86262,45.345,33.520291018,28.0751691713114
Brachypodium pinnatum,86289,1656.69155234839,32.0403357039718,27.0899315007478
Brachypodium retusum,86297,71.580333448815,29.2535955619284,20.873940410449
Brassica oleracea,86406,1841.54444444444,14.1398571428571,21.99925
Briza media,86490,402.407921408025,29.9861547977583,21.6498784176125
Bromus arvensis,86537,1077.8175,27.319,20.1170656565657
Bromus commutatus,86571,1114.04791666667,23.6465146953846,26.5707489506667
Bromus hordeaceus,86634,244.200975768968,25.4227776789889,22.5294666150433
Buglossoides incrassata,610662,201.48,17.6723333333333,26.94
Bunium bulbocastanum,86983,745,15.0218333333333,17.29
Buphthalmum salicifolium,87009,575.830527777778,19.375995432874,23.8763274253963
Bupleurum rigidum,87093,1300,30.537848915354,11.3974948287132
Calamagrostis arundinacea,87212,1439.13263259552,33.4736873397336,19.3535421199377
Campanula barbata,87607,516.473670783333,22.3972178194219,14.8674734348923
Campanula bononiensis,87613,1115.87692307692,27.7681333333333,19.448
Campanula erinus,87636,125,9.81211711914829,31.0344827586207
Campanula patula,87690,476.534115646258,13.87038085,17.7984664912343
Campanula rotundifolia,87720,69.2701349281103,23.3041453276882,19.8997642498174
Campanula trachelium,87742,2418.19386078431,15.7985246335981,41.0208950969707
Cardamine heptaphylla,87925,8032.15155,13.0781872318905,39.6558257824192
Cardamine hirsuta,87930,104.196674444444,16.4252675677183,26.440458625517
Cardamine impatiens,87933,239,31.0666666666667,33.785
Cardamine pratensis,87964,673.166666666667,18.0278912942447,16.4781140671563
Carduus acanthoides,88059,2314.74625,32.9225555555556,10.8507142857143
Carex arenaria,88349,515.566492685953,33.6270327529025,14.7388587714648
Carex brunnescens,88400,301.24075,63.7354086,13.515981135
Carex curvula,88453,91.0365066044186,39.8950067763064,10.5017430301579
Carex demissa,771637,301.4125,26.9868181818182,16.77375
Carex extensa,88502,647.571666666667,32.0778333333333,9.09
Carex halleriana,88560,211.473775308333,38.3329228571429,14.8858409011434
Carex humilis,88582,136.5029658586,37.5879929592308,14.1062594414286
Carex liparocarpos,88637,342.2,55.5277777777778,12.5395661068045
