CD_REF,species_unique,LB_NOM,TYPE_BIO_baseflor,FORMATION_baseflor,TYPE_BIO_cbnmed,choix_type_bio,comm_type_bio
79684,1,Abutilon theophrasti,test,thérophytaie,Thérophyte,thérophyte,OK
79734,1,Acer campestre,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
79783,1,Acer pseudoplatanus,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
80007,1,Aconitum anthora,Heri,hémicryptophytaie,Géophyte à tubercule,géophyte,cohérence FG FM
80322,1,Aegopodium podagraria,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80350,1,Aethionema saxatile,hros,hémicryptophytaie,Chaméphyte,hémicryptophyte,
80410,1,Agrimonia eupatoria,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80546,1,Agrostemma githago,Test,thérophytaie,Thérophyte,thérophyte,OK
80564,1,Agrostis alpina,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80759,1,Agrostis stolonifera,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80759,0,Agrostis stolonifera,hsto-aqua,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80978,1,Ajuga chamaepitys,test,thérophytaie,Thérophyte,thérophyte,OK
447347,1,Albizia julibrissin,NA,NA,Phanérophyte,phanérophyte,OK
81091,1,Alchemilla glaucescens,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
717722,1,Alchemilla subglobosa,NA,NA,NA,NA,OK
81260,1,Alisma gramineum,hces-aqua,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81260,0,Alisma gramineum,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81287,1,Alkanna matthioli,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81316,1,Allium angulosum,gbul,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
81336,1,Allium carinatum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
81376,1,Allium flavum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
81510,1,Allium scorodoprasum,gbul,géophytaie,Géophyte,géophyte,OK
81510,0,Allium scorodoprasum,gbul,géophytaie,Géophyte à bulbe,géophyte,OK
