LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Acacia dealbata,79691,42.0816440937926,50.8718322808795,7.04652362532786,42 : 51 : 7 %,CS
Acer campestre,79734,36.4385230938179,46.7977879429466,16.7636889632356,36 : 47 : 17 %,CS/CSR
Acer negundo,79766,46.4769798424572,30.3509881036599,23.1720320538829,46 : 30 : 23 %,C/CSR
Achillea erba-rotta,79887,6.96209943500773,56.1987899280481,36.8391106369442,7 : 56 : 37 %,SR
Achillea millefolium,79908,24.6756260854414,43.3839734442851,31.9404004702734,25 : 43 : 32 %,SR/CSR
Achillea ptarmica,79921,16.0363997813018,17.3762804047578,66.5873198139404,16 : 17 : 67 %,R/SR
Aconitum anthora,80007,35.3700616316671,0.671655232881879,63.958283135451,35 : 1 : 64 %,R/CR
Aconitum lycoctonum,80034,61.6997905654579,0,38.3002094345421,62 : 0 : 38 %,CR
Aconitum napellus,80037,59.1074684071781,5.30199655860306,35.5905350342189,59 : 5 : 36 %,CR
Aconitum variegatum,80066,56.557510530667,4.80631181120852,38.6361776581244,57 : 5 : 39 %,CR
Acorus calamus,80086,53.4698195033871,14.275151715242,32.2550287813709,53 : 14 : 32 %,C/CSR
Actaea spicata,80137,59.3097007759459,6.36612424179401,34.3241749822601,59 : 6 : 34 %,CR
Adonis vernalis,80240,18.5306531980746,55.9908937531391,25.4784530487864,19 : 56 : 25 %,S/CSR
Aegopodium podagraria,80322,60.1940901979969,13.4743917387442,26.3315180632589,60 : 13 : 26 %,C/CSR
Aethusa cynapium,80358,46.1708508025957,8.99779744229099,44.8313517551133,46 : 9 : 45 %,CR
Agrimonia eupatoria,80410,43.8728839807437,41.0377349599396,15.0893810593167,44 : 41 : 15 %,CS/CSR
Agrimonia procera,80417,54.3993968796962,29.6910253558606,15.9095777644432,54 : 30 : 16 %,C/CSR
Agrostemma githago,80546,26.7186671549423,46.3991142449258,26.8822186001319,27 : 46 : 27 %,S/CSR
Ailanthus altissima,80824,71.184374431266,9.30548431982583,19.5101412489081,71 : 9 : 20 %,C/CR
Ajuga chamaepitys,80978,11.0662679462198,1.99352315383354,86.9402088999467,11 : 2 : 87 %,R
Ajuga genevensis,80980,24.9146086760404,0,75.0853913239595,25 : 0 : 75 %,R/CR
Ajuga pyramidalis,80988,23.9514936833369,49.1324029862711,26.916103330392,24 : 49 : 27 %,S/CSR
Ajuga reptans,80990,42.391799062932,3.28007341100222,54.3281275260658,42 : 3 : 54 %,CR
Alchemilla alpina,81033,14.3336332527255,69.5513875851398,16.1149791621347,14 : 70 : 16 %,S/SR
Alliaria petiolata,81295,45.8463526704575,0,54.1536473295425,46 : 0 : 54 %,CR
Allium schoenoprasum,81508,8.68208374858648,91.2599990398009,0.057917211612589,9 : 91 : 0 %,S
Allium ursinum,81541,48.9468238912052,0,51.0531761087948,49 : 0 : 51 %,CR
Allium victorialis,81543,64.7481983151208,0,35.2518016848792,65 : 0 : 35 %,C/CR
Alnus alnobetula,81563,39.5906347820812,40.4012855195526,20.0080796983662,40 : 40 : 20 %,CS/CSR
Alnus glutinosa,81569,39.2518658811658,46.3868671409691,14.3612669778651,39 : 46 : 14 %,CS/CSR
Alnus incana,81570,31.6708973052634,45.9097385182836,22.419364176453,32 : 46 : 22 %,S/CSR
Althaea officinalis,81856,52.5680817526446,32.3912403153647,15.0406779319906,53 : 32 : 15 %,C/CSR
Amaranthus retroflexus,82018,48.7967175350664,21.0694387629778,30.1338437019559,49 : 21 : 30 %,C/CSR
Ambrosia artemisiifolia,82080,31.3050013886254,32.8634048234272,35.8315937879473,31 : 33 : 36 %,CSR
Ammi majus,82130,48.6870926150993,0,51.3129073849007,49 : 0 : 51 %,CR
Anchusa officinalis,82391,10.389809540386,81.8569997388124,7.75319072080153,10 : 82 : 8 %,S
Anemone nemorosa,82637,37.1818578349508,19.3791921535413,43.4389500115078,37 : 19 : 43 %,CR/CSR
Anemone ranunculoides,82656,32.5414795873539,9.7406447990714,57.7178756135747,33 : 10 : 58 %,R/CSR
Angelica sylvestris,82738,74.8262653341989,10.5077802857087,14.6659543800924,75 : 11 : 15 %,C/CR
Antennaria dioica,82796,3.76798689757225,53.4978009170539,42.7342121853739,4 : 53 : 43 %,SR
Anthoxanthum odoratum,82922,15.6231327880739,43.9746513982419,40.4022158136842,16 : 44 : 40 %,SR/CSR
Anthriscus sylvestris,82952,45.3452476613349,20.3369586275111,34.317793711154,45 : 20 : 34 %,CR/CSR
Anthyllis vulneraria,82999,45.2041286584976,1.64188539220811,53.1539859492943,45 : 2 : 53 %,CR
Antirrhinum majus,83058,39.919904873951,0,60.080095126049,40 : 0 : 60 %,CR
Apium graveolens,83195,73.1219820392819,0,26.8780179607181,73 : 0 : 27 %,C/CR
Aquilegia vulgaris,83267,43.4746539085663,27.1860291533307,29.339316938103,43 : 27 : 29 %,CSR
Arbutus unedo,83481,45.8311682715787,54.1688317284213,0,46 : 54 : 0 %,CS
Arctium lappa,83499,76.3298034941268,7.55312878768773,16.1170677181855,76 : 8 : 16 %,C/CR
Arctium minus,83502,83.0053537634624,0.331168982804216,16.6634772537334,83 : 0 : 17 %,C/CR
Arenaria serpyllifolia,83653,0,69.2499826862839,30.7500173137161,0 : 69 : 31 %,S/SR
Argentina anserina,83714,33.6229889661498,42.9900488774728,23.3869621563774,34 : 43 : 23 %,CS/CSR
Aristolochia clematitis,83777,42.5364145887188,23.7671884527195,33.6963969585618,43 : 24 : 34 %,CR/CSR
Armeria maritima,83832,11.0748503073157,67.5185354330713,21.406614259613,11 : 68 : 21 %,S/SR
Armoracia rusticana,83866,87.1869098273709,3.19022420795529,9.62286596467385,87 : 3 : 10 %,C
Arnica montana,83874,56.0975805957202,0,43.9024194042798,56 : 0 : 44 %,CR
Arrhenatherum elatius,83912,24.0171061982718,39.2562603426461,36.7266334590821,24 : 39 : 37 %,SR/CSR
Artemisia absinthium,83933,32.2617969741628,23.2887970923082,44.449405933529,32 : 23 : 44 %,CR/CSR
Artemisia annua,83938,20.0535036435093,24.1259867556193,55.8205096008715,20 : 24 : 56 %,R/CSR
Artemisia vulgaris,84061,38.6821727754727,26.7959704248637,34.5218567996636,39 : 27 : 35 %,CSR
Arum maculatum,84112,62.3757360580693,0,37.6242639419308,62 : 0 : 38 %,CR
Aruncus dioicus,84135,71.8620229530632,4.86983783720111,23.2681392097357,72 : 5 : 23 %,C/CR
Arundo donax,84173,56.3992318760521,37.9805543379931,5.62021378595472,56 : 38 : 6 %,CS
Asarum europaeum,84230,51.9845693683637,0,48.0154306316363,52 : 0 : 48 %,CR
Asclepias syriaca,84251,67.7661498959067,14.7063891247512,17.5274609793421,68 : 15 : 18 %,C/CR
Asparagus officinalis,84279,0,91.210132192407,8.78986780759301,0 : 91 : 9 %,S
Asperula cynanchica,84306,0,74.3772236107461,25.6227763892539,0 : 74 : 26 %,S/SR
Asperula tinctoria,84330,0,49.4310337476743,50.5689662523257,0 : 49 : 51 %,SR
Asphodelus albus,84338,31.0707995527992,68.9292004472008,0,31 : 69 : 0 %,S/CS
Astrantia major,84936,61.6460579297991,1.20830951035501,37.1456325598459,62 : 1 : 37 %,CR
Ballota nigra,85502,17.8364248341581,51.7883913467752,30.3751838190667,18 : 52 : 30 %,S/CSR
Barbarea vulgaris,761965,48.5759624763177,0,51.4240375236823,49 : 0 : 51 %,CR
Bellis perennis,85740,31.4850100124616,0,68.5149899875384,31 : 0 : 69 %,R/CR
Berberis vulgaris,85774,13.4812689721235,62.5883268331099,23.9304041947666,13 : 63 : 24 %,S/CSR
Beta vulgaris,85820,78.1160036325416,0,21.8839963674584,78 : 0 : 22 %,C/CR
Betula pendula,85903,25.0396043418746,57.0940864709609,17.8663091871645,25 : 57 : 18 %,S/CSR
Betula pubescens,85904,25.7554052289119,45.5597623224393,28.6848324486487,26 : 46 : 29 %,S/CSR
Bidens pilosa,85972,41.255270556775,2.92128473635946,55.8234447068656,41 : 3 : 56 %,CR
Bistorta officinalis,86081,42.8101865567392,28.6892780769505,28.5005353663103,43 : 29 : 29 %,CSR
Blackstonia perfoliata,86087,17.7571792712466,28.5259398334781,53.7168808952753,18 : 29 : 54 %,R/CSR
Blitum bonus-henricus,994837,50.1799771956077,6.94704758909285,42.8729752152995,50 : 7 : 43 %,CR
Borago officinalis,86156,59.0834241889694,0,40.9165758110306,59 : 0 : 41 %,CR
Briza media,86490,14.3114559925708,52.221358405583,33.4671856018463,14 : 52 : 33 %,SR/CSR
Buglossoides arvensis,86890,14.1970471595781,54.4223107351741,31.3806421052478,14 : 54 : 31 %,S/CSR
Bupleurum falcatum,87044,21.0011680740821,51.7247456509661,27.2740862749518,21 : 52 : 27 %,S/CSR
Buxus sempervirens,87143,7.83701297079034,92.1629870292097,0,8 : 92 : 0 %,S
Calendula arvensis,87420,35.075031208353,0,64.924968791647,35 : 0 : 65 %,R/CR
Calluna vulgaris,87501,0,85.8763191776163,14.1236808223837,0 : 86 : 14 %,S
Caltha palustris,87540,63.877501997774,0,36.122498002226,64 : 0 : 36 %,C/CR
Campanula patula,87690,38.7139314993901,0,61.2860685006099,39 : 0 : 61 %,CR
Campanula rapunculus,87712,25.8758055336673,0,74.1241944663327,26 : 0 : 74 %,R/CR
Campanula rotundifolia,87720,5.01766255067146,47.5418799633367,47.4404574859918,5 : 48 : 47 %,SR
Campanula trachelium,87742,41.2505346099808,0,58.7494653900192,41 : 0 : 59 %,CR
Cardamine pratensis,87964,40.248847463494,15.0600388922555,44.6911136442505,40 : 15 : 45 %,CR/CSR
