"AccSpeciesName","AccSpeciesID","CD_REF","FAMILLE"
"Abies alba",29,79319,"Pinaceae"
"Abies cephalonica",36,79325,"Pinaceae"
"Abies grandis",50,79333,"Pinaceae"
"Abies nordmanniana",62,79345,"Pinaceae"
"Abies pinsapo",66,79349,"Pinaceae"
"Abutilon theophrasti",139,79684,"Malvaceae"
"Acacia baileyana",188,79687,"Fabaceae"
"Acacia dealbata",279,79691,"Fabaceae"
"Acacia longifolia",434,79698,"Fabaceae"
"Acacia mearnsii",458,79700,"Fabaceae"
"Acacia melanoxylon",462,79701,"Fabaceae"
"Acacia pycnantha",555,79706,"Fabaceae"
"Acacia retinodes",568,79707,"Fabaceae"
"Acacia saligna",585,79710,"Fabaceae"
"Acanthoprasium frutescens",200375,79716,"Lamiaceae"
"Acanthus mollis",783,79721,"Acanthaceae"
"Acer campestre",797,79734,"Sapindaceae"
"Acer cappadocicum",799,79735,"Sapindaceae"
"Acer japonicum",826,79755,"Sapindaceae"
"Acer monspessulanum",839,79763,"Sapindaceae"
"Acer negundo",841,79766,"Sapindaceae"
"Acer opalus",848,79770,"Sapindaceae"
"Acer palmatum",849,79775,"Sapindaceae"
"Acer platanoides",854,79779,"Sapindaceae"
"Acer pseudoplatanus",855,79783,"Sapindaceae"
"Acer rufinerve",860,717049,"Sapindaceae"
"Acer saccharinum",861,79788,"Sapindaceae"
"Achillea ageratum",890,79865,"Asteraceae"
"Achillea atrata",893,79868,"Asteraceae"
"Achillea chamaemelifolia",73469,79874,"Asteraceae"
"Achillea collina",901,896277,"Asteraceae"
"Achillea crithmifolia",902,79877,"Asteraceae"
"Achillea distans",903,79886,"Asteraceae"
"Achillea erba-rotta",904,79887,"Asteraceae"
"Achillea filipendulina",906,79890,"Asteraceae"
"Achillea ligustica",73474,79903,"Asteraceae"
"Achillea macrophylla",908,79905,"Asteraceae"
"Achillea maritima",102411,610735,"Asteraceae"
"Achillea millefolium",909,79908,"Asteraceae"
"Achillea nana",911,79913,"Asteraceae"
"Achillea nobilis",912,79914,"Asteraceae"
"Achillea ptarmica",916,79921,"Asteraceae"
"Achillea roseo-alba",918,79923,"Asteraceae"
"Achillea tomentosa",73481,79939,"Asteraceae"
"Achnatherum calamagrostis",930,79970,"Poaceae"
"Acis fabrei",272385,610607,"Amaryllidaceae"
"Acis longifolia",200693,80000,"Amaryllidaceae"
"Acis nicaeensis",73512,610608,"Amaryllidaceae"
"Acis rosea",200694,80003,"Amaryllidaceae"
"Aconitum anthora",73526,80007,"Ranunculaceae"
"Aconitum lycoctonum",1027,80034,"Ranunculaceae"
"Aconitum napellus",1028,80037,"Ranunculaceae"
"Aconitum variegatum",1037,80066,"Ranunculaceae"
"Acorus calamus",1045,80086,"Acoraceae"
"Actaea spicata",1133,80137,"Ranunculaceae"
"Adenocarpus complicatus",1246,80155,"Fabaceae"
"Adenocarpus telonensis",1252,80162,"Fabaceae"
"Adenostyles alliariae",1287,80183,"Asteraceae"
"Adenostyles alpina",1288,80184,"Asteraceae"
"Adenostyles leucophylla",73717,80190,"Asteraceae"
"Adiantum raddianum",1320,447953,"Pteridaceae"
"Adonis aestivalis",1360,80211,"Ranunculaceae"
"Adonis annua",1361,80212,"Ranunculaceae"
"Adonis flammea",1363,80224,"Ranunculaceae"
"Adonis microcarpa",273393,80232,"Ranunculaceae"
"Adonis pyrenaica",73758,80238,"Ranunculaceae"
"Adonis vernalis",1364,80240,"Ranunculaceae"
"Adoxa moschatellina",1365,80243,"Viburnaceae"
"Aegilops caudata",1388,159514,"Poaceae"
"Aegilops crassa",1391,610756,"Poaceae"
"Aegilops cylindrica",1392,80270,"Poaceae"
"Aegilops geniculata",1393,80278,"Poaceae"
"Aegilops juvenalis",1394,80282,"Poaceae"
"Aegilops neglecta",1400,80288,"Poaceae"
"Aegilops speltoides",1405,80297,"Poaceae"
"Aegilops triuncialis",1408,80302,"Poaceae"
"Aegilops ventricosa",1412,80304,"Poaceae"
"Aegopodium podagraria",1439,80322,"Apiaceae"
"Aeluropus littoralis",1452,80329,"Poaceae"
"Aeonium haworthii",1459,80332,"Crassulaceae"
"Aesculus hippocastanum",1571,80334,"Sapindaceae"
"Aethionema saxatile",1590,80350,"Brassicaceae"
"Aethionema thomasianum",1592,80351,"Brassicaceae"
"Aethusa cynapium",1593,80358,"Apiaceae"
"Agave americana",1679,80383,"Asparagaceae"
"Agave salmiana",1700,610762,"Asparagaceae"
"Ageratina adenophora",1722,80387,"Asteraceae"
"Agrimonia eupatoria",1810,80410,"Rosaceae"
"Agrimonia procera",1815,80417,"Rosaceae"
"Agropyron cristatum",1833,80446,"Poaceae"
"Agrostemma githago",1869,80546,"Caryophyllaceae"
"Agrostis alpina",1877,80564,"Poaceae"
"Agrostis canina",1904,80590,"Poaceae"
"Agrostis capillaris",1905,80591,"Poaceae"
"Agrostis castellana",1907,80593,"Poaceae"
"Agrostis curtisii",1912,80605,"Poaceae"
"Agrostis gigantea",1937,80639,"Poaceae"
"Agrostis hesperica",1945,80645,"Poaceae"
"Agrostis rupestris",2046,80729,"Poaceae"
"Agrostis scabra",2050,80735,"Poaceae"
"Agrostis schleicheri",2055,80739,"Poaceae"
"Agrostis stolonifera",2065,80759,"Poaceae"
"Agrostis vinealis",2101,80798,"Poaceae"
"Ailanthus altissima",2124,80824,"Simaroubaceae"
"Aira caryophyllea",2143,80857,"Poaceae"
"Aira cupaniana",2144,80864,"Poaceae"
"Aira elegantissima",2146,80871,"Poaceae"
