LB_NOM,AccSpeciesID,CD_REF,FAMILLE,harvested
Abutilon theophrasti,139,79684,Malvaceae,0
Acer campestre,797,79734,Sapindaceae,1
Acer pseudoplatanus,855,79783,Sapindaceae,0
Aconitum anthora,73526,80007,Ranunculaceae,1
Aegopodium podagraria,1439,80322,Apiaceae,1
Aethionema saxatile,1590,80350,Brassicaceae,0
Agrimonia eupatoria,1810,80410,Rosaceae,1
Agrostemma githago,1869,80546,Caryophyllaceae,1
Agrostis alpina,1877,80564,Poaceae,0
Agrostis stolonifera,2065,80759,Poaceae,0
Ajuga chamaepitys,2162,80978,Lamiaceae,1
Albizia julibrissin,2237,447347,Fabaceae,0
Alchemilla glaucescens,2329,81091,Rosaceae,0
Alchemilla subglobosa,2378,717722,Rosaceae,0
Alisma gramineum,2471,81260,Alismataceae,0
Alkanna matthioli,2478,81287,Boraginaceae,1
Allium angulosum,2504,81316,Amaryllidaceae,0
Allium carinatum,2515,81336,Amaryllidaceae,0
Allium flavum,2532,81376,Amaryllidaceae,0
Allium scorodoprasum,2568,81510,Amaryllidaceae,0
Allium ursinum,2587,81541,Amaryllidaceae,1
Alnus incana,2712,81570,Betulaceae,1
Alopecurus geniculatus,2854,81637,Poaceae,0
Alopecurus myosuroides,2869,81648,Poaceae,0
Alopecurus pratensis,2872,81656,Poaceae,0
Alternanthera philoxeroides,2993,81831,Amaranthaceae,0
Amaranthus blitum,3104,81966,Amaranthaceae,0
Amaranthus cruentus,3111,81976,Amaranthaceae,0
Amaranthus hybridus,3120,81992,Amaranthaceae,0
Ambrosia psilostachya,3168,610847,Asteraceae,0
Ammannia coccinea,3206,82120,Lythraceae,0
Anacamptis coriophora,202844,82282,Orchidaceae,0
Anacamptis pyramidalis,3375,82288,Orchidaceae,0
Anarrhinum bellidifolium,3437,82356,Plantaginaceae,0
Andromeda polifolia,3515,82420,Ericaceae,0
Androsace alpina,3643,82478,Primulaceae,0
Androsace lactea,3648,82509,Primulaceae,0
Androsace obtusifolia,3650,82519,Primulaceae,0
Androsace vitaliana,65554,82545,Primulaceae,0
Andryala ragusina,3662,82571,Asteraceae,0
Antennaria carpatica,3922,82794,Asteraceae,0
Anthericum liliago,3979,82903,Asparagaceae,0
Anthericum ramosum,3980,82909,Asparagaceae,0
Anthoxanthum aristatum,4026,82916,Poaceae,0
Anthoxanthum odoratum,4036,82922,Poaceae,1
Anthriscus caucalis,4042,82931,Apiaceae,0
Anthyllis barba-jovis,4061,82965,Fabaceae,0
Aphanes arvensis,4185,83159,Rosaceae,0
Aposeris foetida,4291,83234,Asteraceae,0
Arabidopsis arenosa,75112,610746,Brassicaceae,0
Arabis alpina,4342,83279,Brassicaceae,0
Arctium minus,4491,83502,Asteraceae,1
Arctium nemorosum,4493,83503,Asteraceae,0
Arctium tomentosum,4498,83507,Asteraceae,0
Argyrolobium zanonii,4689,83722,Fabaceae,0
Aristolochia pallida,5054,83789,Aristolochiaceae,0
Armeria alpina,5078,83808,Plumbaginaceae,0
Armeria maritima,5085,83832,Plumbaginaceae,1
Arnica montana,5104,83874,Asteraceae,1
Arnoseris minima,5107,83890,Asteraceae,0
Artemisia campestris,5176,83953,Asteraceae,0
Artemisia pontica,5225,84021,Asteraceae,0
Artemisia verlotiorum,5255,84057,Asteraceae,0
Artemisia vulgaris,5257,84061,Asteraceae,1
Asclepias syriaca,5512,84251,Apocynaceae,1
Asparagus acutifolius,5526,84264,Asparagaceae,0
Asperula aristata,5555,84296,Rubiaceae,0
Asperula arvensis,5556,84297,Rubiaceae,0
Asperula purpurea,5567,84319,Rubiaceae,0
Asphodelus albus,5575,84338,Asphodelaceae,1
Asphodelus fistulosus,5576,84355,Asphodelaceae,0
Asplenium ceterach,5649,84472,Aspleniaceae,1
Asplenium viride,5707,84540,Aspleniaceae,0
Astragalus hamosus,5851,84846,Fabaceae,0
Astragalus stella,75852,84904,Fabaceae,0
Athyrium filix-femina,6006,84999,Athyriaceae,0
Atractylis humilis,6028,85023,Asteraceae,0
Atriplex laciniata,6101,85079,Amaranthaceae,0
Atriplex patula,6142,85102,Amaranthaceae,0
Avena sterilis,6344,85374,Poaceae,0
