LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Abies alba,simple,29,79319,Pinaceae,1
Acacia dealbata,compound,279,79691,Fabaceae,1
Acer campestre,simple,797,79734,Sapindaceae,1
Acer negundo,simple,841,79766,Sapindaceae,1
Achillea erba-rotta,simple,904,79887,Asteraceae,1
Achillea millefolium,compound,909,79908,Asteraceae,1
Achillea nana,compound,911,79913,Asteraceae,1
Achillea ptarmica,simple,916,79921,Asteraceae,1
Aconitum lycoctonum,simple,1027,80034,Ranunculaceae,1
Aconitum napellus,compound,1028,80037,Ranunculaceae,1
Aconitum variegatum,compound,1037,80066,Ranunculaceae,1
Acorus calamus,simple,1045,80086,Acoraceae,1
Actaea spicata,compound,1133,80137,Ranunculaceae,1
Adiantum capillus-veneris,compound,1305,447951,Pteridaceae,1
Adonis annua,compound,1361,80212,Ranunculaceae,1
Adonis vernalis,compound,1364,80240,Ranunculaceae,1
Aegopodium podagraria,compound,1439,80322,Apiaceae,1
Aethusa cynapium,compound,1593,80358,Apiaceae,1
Agave americana,simple,1679,80383,Asparagaceae,1
Agrimonia eupatoria,compound,1810,80410,Rosaceae,1
Agrimonia procera,compound,1815,80417,Rosaceae,1
Agrostemma githago,simple,1869,80546,Caryophyllaceae,1
Ailanthus altissima,compound,2124,80824,Simaroubaceae,1
Ajuga chamaepitys,simple,2162,80978,Lamiaceae,1
Ajuga genevensis,simple,2165,80980,Lamiaceae,1
Ajuga pyramidalis,simple,2170,80988,Lamiaceae,1
Ajuga reptans,simple,2172,80990,Lamiaceae,1
Alchemilla acutiloba,simple,2297,81027,Rosaceae,1
Alchemilla alpina,compound,2299,81033,Rosaceae,1
Alkanna matthioli,simple,2478,81287,Boraginaceae,1
Alliaria petiolata,simple,2496,81295,Brassicaceae,1
Allium roseum,simple,2560,81499,Amaryllidaceae,1
Allium schoenoprasum,simple,2566,81508,Amaryllidaceae,1
Allium ursinum,simple,2587,81541,Amaryllidaceae,1
Allium victorialis,simple,2589,81543,Amaryllidaceae,1
Alnus alnobetula,simple,2704,81563,Betulaceae,1
Alnus glutinosa,simple,2710,81569,Betulaceae,1
Alnus incana,simple,2712,81570,Betulaceae,1
Althaea officinalis,simple,3003,81856,Malvaceae,1
Amaranthus retroflexus,simple,3134,82018,Amaranthaceae,1
Ambrosia artemisiifolia,compound,3157,82080,Asteraceae,1
Ammi majus,compound,3210,82130,Apiaceae,1
Visnaga daucoides,compound,3211,129910,Apiaceae,1
Lysimachia arvensis,simple,3410,610909,Primulaceae,1
Anchusa azurea,simple,3460,618756,Boraginaceae,1
Anchusa officinalis,simple,3462,82391,Boraginaceae,1
Anemone nemorosa,compound,3691,82637,Ranunculaceae,1
Anemone ranunculoides,compound,3701,82656,Ranunculaceae,1
Angelica sylvestris,compound,3738,82738,Apiaceae,1
Antennaria dioica,simple,3925,82796,Asteraceae,1
Anthoxanthum odoratum,simple,4036,82922,Poaceae,1
Anthriscus sylvestris,compound,4045,82952,Apiaceae,1
Anthyllis vulneraria,compound,4072,82999,Fabaceae,1
Antirrhinum majus,simple,4128,83058,Plantaginaceae,1
Apium graveolens,compound,4210,83195,Apiaceae,1
Aquilegia vulgaris,compound,4337,83267,Ranunculaceae,1
Arbutus unedo,simple,4447,83481,Ericaceae,1
Arctium lappa,simple,4489,83499,Asteraceae,1
Arctium minus,simple,4491,83502,Asteraceae,1
Arctostaphylos uva-ursi,simple,4528,83528,Ericaceae,1
Arenaria serpyllifolia,simple,4614,83653,Caryophyllaceae,1
Roemeria argemone,simple,4634,117874,Papaveraceae,1
Aristolochia rotunda,simple,5060,83793,Aristolochiaceae,1
Armeria maritima,simple,5085,83832,Plumbaginaceae,1
Armoracia rusticana,simple,5093,83866,Brassicaceae,1
Arnica montana,simple,5104,83874,Asteraceae,1
Arrhenatherum elatius,simple,5134,83912,Poaceae,1
Artemisia absinthium,compound,5155,83933,Asteraceae,1
Artemisia annua,compound,5160,83938,Asteraceae,1
Artemisia eriantha,compound,5188,83969,Asteraceae,1
Artemisia genipi,compound,5188,83973,Asteraceae,1
Artemisia maritima,compound,5209,84003,Asteraceae,1
Artemisia umbelliformis,compound,5253,84053,Asteraceae,1
Artemisia vulgaris,compound,5257,84061,Asteraceae,1
Arum italicum,simple,5392,84110,Araceae,1
Arum maculatum,simple,5393,84112,Araceae,1
Aruncus dioicus,compound,5395,84135,Rosaceae,1
Arundo donax,simple,5471,84173,Poaceae,1
Asarum europaeum,simple,5485,84230,Asaraceae,1
Asclepias syriaca,simple,5512,84251,Apocynaceae,1
Asparagus officinalis,simple,5540,84279,Asparagaceae,1
Asperula cynanchica,simple,5558,84306,Rubiaceae,1
Asperula tinctoria,simple,5570,84330,Rubiaceae,1
Asphodelus albus,simple,5575,84338,Asphodelaceae,1
Asplenium adiantum-nigrum,compound,5634,84458,Aspleniaceae,1
Asplenium ceterach,compound,5649,84472,Aspleniaceae,1
Asplenium scolopendrium,compound,5693,84524,Aspleniaceae,1
Astrantia major,compound,5917,84936,Apiaceae,1
Atropa bella-donna,simple,6192,85152,Solanaceae,1
Ballota nigra,simple,6666,85502,Lamiaceae,1
