"LB_NOM","CD_REF","CD_TYPE_STATUT","LB_TYPE_STATUT","REGROUPEMENT_TYPE","CODE_STATUT","LB_ADM_TR","NIVEAU_ADMIN","FULL_CITATION","DOC_URL","harvested"
"Achillea maritima",610735,"REGLSO","Réglementation sans objet","Réglementation","PV1","France métropolitaine","Territoire","Arrêté ministériel du 13 octobre 1989 relatif à la liste des espèces végétales sauvages pouvant faire l'objet d'une réglementation préfectorale permanente ou temporaire, modifié par les arrêtés ministériels du 5 octobre 1992 (JORF du 28 octobre 1992, p. 14960) et du 9 mars 2009 (JORF du 13 mai 2009, p. 7974)","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006059328/","not harvested"
"Achillea maritima",610735,"REGL","Réglementation","Réglementation","V2BP3","Haute-Corse","Département","Arrêté préfectoral n° 91/46 du 9 janvier 1991 réglementant la cueillette de certaines plantes sauvages [dans le département de Haute-Corse], modifié par l'arrêté DAE/URB N° 95/1390 du 14 novembre 1995","https://inpn.mnhn.fr/docs-web/docs/download/661","not harvested"
"Achillea maritima",610735,"REGL","Réglementation","Réglementation","V2AP2","Corse-du-Sud","Département","Arrêté préfectoral n° 91.17.23 du 30 décembre 1991 portant réglementation de la cueillette de certaines plantes sauvages [dans le département de Corse-du-Sud]","https://inpn.mnhn.fr/docs-web/docs/download/660","not harvested"
"Achillea maritima",610735,"REGL","Réglementation","Réglementation","V2BP2","Haute-Corse","Département","Arrêté préfectoral n° 91/46 du 9 janvier 1991 réglementant la cueillette de certaines plantes sauvages [dans le département de Haute-Corse], modifié par l'arrêté DAE/URB N° 95/1390 du 14 novembre 1995","https://inpn.mnhn.fr/docs-web/docs/download/661","not harvested"
"Achillea maritima",610735,"REGL","Réglementation","Réglementation","V50P4","Manche","Département","Arrêté préfectoral n° 94-16 du 10 janvier 1994, réglementant la récolte ou le ramassage de certaines espèces végétales sauvages [dans le département de la Manche]","https://inpn.mnhn.fr/docs-web/docs/download/678","not harvested"
"Achillea maritima",610735,"REGL","Réglementation","Réglementation","V2AP3","Corse-du-Sud","Département","Arrêté préfectoral n° 91.17.23 du 30 décembre 1991 portant réglementation de la cueillette de certaines plantes sauvages [dans le département de Corse-du-Sud]","https://inpn.mnhn.fr/docs-web/docs/download/660","not harvested"
"Acis fabrei",610607,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","not harvested"
"Acis nicaeensis",610608,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","not harvested"
"Aconitum anthora",80007,"REGL","Réglementation","Réglementation","V39P6","Jura","Département","Arrêté préfectoral n° 60 du 18 janvier 1993 portant réglementation de la cueillette de certaines plantes sauvages [dans le département du Jura]","https://inpn.mnhn.fr/docs-web/docs/download/667","harvested"
"Aconitum lycoctonum",80034,"REGL","Réglementation","Réglementation","V39P6","Jura","Département","Arrêté préfectoral n° 60 du 18 janvier 1993 portant réglementation de la cueillette de certaines plantes sauvages [dans le département du Jura]","https://inpn.mnhn.fr/docs-web/docs/download/667","harvested"
"Aconitum napellus",80037,"REGLSO","Réglementation sans objet","Réglementation","PV1","France métropolitaine","Territoire","Arrêté ministériel du 13 octobre 1989 relatif à la liste des espèces végétales sauvages pouvant faire l'objet d'une réglementation préfectorale permanente ou temporaire, modifié par les arrêtés ministériels du 5 octobre 1992 (JORF du 28 octobre 1992, p. 14960) et du 9 mars 2009 (JORF du 13 mai 2009, p. 7974)","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006059328/","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V14P3","Calvados","Département","Arrêté préfectoral du 12 juin 1995 : Réglementation relative à la récolte ou au ramassage de certaines espèces végétales sauvages [dans le département du Calvados]","https://inpn.mnhn.fr/docs-web/docs/download/737","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V50P4","Manche","Département","Arrêté préfectoral n° 94-16 du 10 janvier 1994, réglementant la récolte ou le ramassage de certaines espèces végétales sauvages [dans le département de la Manche]","https://inpn.mnhn.fr/docs-web/docs/download/678","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V18P4","Cher","Département","Arrêté préfectoral du 22 novembre 1990 fixant la liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département du Cher","https://inpn.mnhn.fr/docs-web/docs/download/648","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V61P4","Orne","Département","Arrêté préfectoral modificatif du 25 mars 1994 réglementant la récolte ou le ramassage de certaines espèces végétales sauvages [dans le département de l'Orne]","https://inpn.mnhn.fr/docs-web/docs/download/686","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V04P6","Alpes-de-Haute-Provence","Département","Arrêté préfectoral n° 95/1533 du 28 juillet 1995 : Réglementation de la cueillette de certaines espèces végétales sauvages [dans le département des Alpes-de-Haute-Provence]","https://inpn.mnhn.fr/docs-web/docs/download/732","harvested"
"Aconitum napellus",80037,"REGL","Réglementation","Réglementation","V39P6","Jura","Département","Arrêté préfectoral n° 60 du 18 janvier 1993 portant réglementation de la cueillette de certaines plantes sauvages [dans le département du Jura]","https://inpn.mnhn.fr/docs-web/docs/download/667","harvested"
"Aconitum variegatum",80066,"REGL","Réglementation","Réglementation","V39P6","Jura","Département","Arrêté préfectoral n° 60 du 18 janvier 1993 portant réglementation de la cueillette de certaines plantes sauvages [dans le département du Jura]","https://inpn.mnhn.fr/docs-web/docs/download/667","harvested"
"Adiantum capillus-veneris",447951,"REGLSO","Réglementation sans objet","Réglementation","REUnoEEEV","Réunion","Territoire","Arrêté du 9 février 2018 relatif à la prévention de l'introduction et de la propagation des espèces végétales exotiques envahissantes sur le territoire de La Réunion","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000036610647&dateTexte=&categorieLien=id","harvested"
"Adiantum capillus-veneris",447951,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","harvested"
"Adonis vernalis",80240,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","harvested"
"Adonis vernalis",80240,"REGL","Réglementation","Réglementation","NV3","France métropolitaine","Territoire","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000865328&fastPos=1&fastReqId=1607863946&categorieLien=cid&oldAction=rechTexte","harvested"
"Aethionema monospermum",80347,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","not harvested"
"Aethionema thomasianum",80351,"REGLSO","Réglementation sans objet","Réglementation","CNPN1","France","État","Arrêté du 6 janvier 2020 fixant la liste des espèces animales et végétales à la protection desquelles il ne peut être dérogé qu'après avis du Conseil national de la protection de la nature [JORF n°0024 du 29 janvier 2020 texte n°12]","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041491367","not harvested"
"Agave americana",80383,"REGLSO","Réglementation sans objet","Réglementation","PV97","France","État","Arrêté ministériel du 24 février 1995 relatif à la liste des espèces végétales sauvages pouvant faire l'objet d'une réglementation préfectorale dans les départements d'outre-mer (JORF 11 avril 1995, p. 5693)","http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000552006","harvested"
"Agave salmiana",610762,"REGLSO","Réglementation sans objet","Réglementation","PV97","France","État","Arrêté ministériel du 24 février 1995 relatif à la liste des espèces végétales sauvages pouvant faire l'objet d'une réglementation préfectorale dans les départements d'outre-mer (JORF 11 avril 1995, p. 5693)","http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000552006","not harvested"
"Agrostis capillaris",80591,"REGLSO","Réglementation sans objet","Réglementation","REUnoEEEV","Réunion","Territoire","Arrêté du 9 février 2018 relatif à la prévention de l'introduction et de la propagation des espèces végétales exotiques envahissantes sur le territoire de La Réunion","https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000036610647&dateTexte=&categorieLien=id","not harvested"
