"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
119097,"Rubus fruticosus","Rosaceae",0,0,NA,NA,NA,"DD","DD","DD",NA,NA,NA,NA,NA,NA,NA,"DD","LC",NA,NA,"DD",NA,"LC",NA,"LC","DD",NA,"harvested"
117874,"Roemeria argemone","Papaveraceae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"harvested"
79319,"Abies alba","Pinaceae",0,0,"LC","LC",NA,"LC",NA,NA,"LC","LC","LC",NA,NA,NA,NA,NA,NA,NA,"LC","LC",NA,NA,"LC","LC","LC",NA,"harvested"
79716,"Acanthoprasium frutescens","Lamiaceae",1,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
79721,"Acanthus mollis","Acanthaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
79734,"Acer campestre","Sapindaceae",0,0,"LC","LC",NA,"LC","LC","LC","LC","LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
79763,"Acer monspessulanum","Sapindaceae",1,0,"LC","LC",NA,"LC","CR","LC",NA,"LC","LC",NA,NA,"DD",NA,NA,NA,NA,"LC","LC",NA,"NT",NA,NA,"LC",NA,"not harvested"
79770,"Acer opalus","Sapindaceae",0,0,"LC","LC",NA,NA,NA,NA,"LC","LC","NT",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC",NA,NA,"LC",NA,"not harvested"
79779,"Acer platanoides","Sapindaceae",0,0,"LC","LC",NA,"LC",NA,NA,"LC","LC",NA,NA,NA,NA,NA,"LC","LC",NA,NA,"LC",NA,"LC","LC","LC","LC",NA,"not harvested"
79783,"Acer pseudoplatanus","Sapindaceae",0,0,"LC","LC",NA,"LC",NA,"DD","LC","LC","LC","LC",NA,NA,"LC","LC","LC",NA,NA,"LC",NA,"LC","LC","LC","LC",NA,"not harvested"
79865,"Achillea ageratum","Asteraceae",0,0,NA,"NT",NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"VU",NA,"not harvested"
79868,"Achillea atrata","Asteraceae",0,0,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,"not harvested"
79874,"Achillea chamaemelifolia","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,"not harvested"
896277,"Achillea collina","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
79886,"Achillea distans","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"not harvested"
79887,"Achillea erba-rotta","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,"harvested"
79903,"Achillea ligustica","Asteraceae",0,0,NA,"LC","RE",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
79905,"Achillea macrophylla","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"not harvested"
610735,"Achillea maritima","Asteraceae",8,6,NA,"LC","EN",NA,NA,"CR",NA,"LC","LC",NA,"CR","VU",NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"not harvested"
79908,"Achillea millefolium","Asteraceae",0,0,"LC","LC",NA,"LC","LC","LC","LC","LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
79913,"Achillea nana","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"harvested"
79914,"Achillea nobilis","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","EN",NA,"not harvested"
79915,"Achillea odorata","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,"not harvested"
79921,"Achillea ptarmica","Asteraceae",1,0,"LC","LC","VU","NT","LC","LC","LC","NT",NA,"LC","LC","LC","NT","LC","NT","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
79923,"Achillea roseo-alba","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"not harvested"
79939,"Achillea tomentosa","Asteraceae",1,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"EN",NA,"harvested"
717051,"Achnatherum bromoides","Poaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
79970,"Achnatherum calamagrostis","Poaceae",0,0,NA,"LC",NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,"not harvested"
80003,"Acis rosea","Amaryllidaceae",0,0,"LC","LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
80007,"Aconitum anthora","Ranunculaceae",2,1,NA,"LC",NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,"harvested"
80034,"Aconitum lycoctonum","Ranunculaceae",1,1,NA,"LC",NA,"CR*",NA,"NT","LC","LC",NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC",NA,"VU",NA,"NT","LC",NA,"harvested"
80037,"Aconitum napellus","Ranunculaceae",15,7,"LC","LC",NA,"RE","EN","EN","LC","LC","LC","NT","LC","VU",NA,"LC","VU","EN","LC","LC",NA,"VU","LC","NT","LC",NA,"harvested"
80066,"Aconitum variegatum","Ranunculaceae",1,1,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,"harvested"
80137,"Actaea spicata","Ranunculaceae",4,0,NA,"LC",NA,"EN",NA,NA,"LC","LC",NA,"NT","CR",NA,"EN","NT","VU","EN","LC","LC",NA,"NT","LC","NT","LC",NA,"harvested"
80155,"Adenocarpus complicatus","Fabaceae",4,0,NA,"LC",NA,"NT","RE","RE","CR","NT",NA,NA,NA,"VU",NA,NA,NA,NA,"LC","NT","VU","CR",NA,NA,"LC",NA,"not harvested"
80162,"Adenocarpus telonensis","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
80183,"Adenostyles alliariae","Asteraceae",1,0,NA,"LC",NA,"VU",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","LC",NA,NA,"LC","LC","LC",NA,"not harvested"
80184,"Adenostyles alpina","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"not harvested"
