CD_REF,Regroupement,REGNE,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,Comment
79691,Angiospermes,Plantae,"Acacia dealbata Link, 1822",2979474,279,Acacia dealbata,Acacia dealbata,
79734,Angiospermes,Plantae,"Acer campestre L., 1753",3189863,797,Acer campestre,Acer campestre,
79766,Angiospermes,Plantae,"Acer negundo L., 1753",3189866,841,Acer negundo,Acer negundo,
79887,Angiospermes,Plantae,"Achillea erba-rotta All., 1773",9536147,904,Achillea erba-rotta,Achillea erba-rotta,
79908,Angiospermes,Plantae,"Achillea millefolium L., 1753",3120060,909,Achillea millefolium,Achillea millefolium,
79913,Angiospermes,Plantae,"Achillea nana L., 1753",8714852,911,Achillea nana,not_found,
79921,Angiospermes,Plantae,"Achillea ptarmica L., 1753",3120333,916,Achillea ptarmica,Achillea ptarmica,
79939,Angiospermes,Plantae,"Achillea tomentosa L., 1753",7787053,73481,not_found,not_found,
80007,Angiospermes,Plantae,"Aconitum anthora L., 1753",3033670,73526,Aconitum anthora,not_found,
80034,Angiospermes,Plantae,"Aconitum lycoctonum L., 1753",3033675,1027,Aconitum lycoctonum,Aconitum lycoctonum,
80037,Angiospermes,Plantae,"Aconitum napellus L., 1753",3033665,1028,Aconitum napellus,Aconitum napellus,
80066,Angiospermes,Plantae,"Aconitum variegatum L., 1753",8090449,1037,Aconitum variegatum,not_found,
80086,Angiospermes,Plantae,"Acorus calamus L., 1753",2873769,1045,Acorus calamus,Acorus calamus,
80137,Angiospermes,Plantae,"Actaea spicata L., 1753",5371473,1133,Actaea spicata,Actaea spicata,
80212,Angiospermes,Plantae,"Adonis annua L., 1753 [nom. et typ. cons.]",5371709,1361,Adonis annua,not_found,
80240,Angiospermes,Plantae,"Adonis vernalis L., 1753",5371711,1364,Adonis vernalis,Adonis vernalis,
80322,Angiospermes,Plantae,"Aegopodium podagraria L., 1753",3034620,1439,Aegopodium podagraria,Aegopodium podagraria,
80358,Angiospermes,Plantae,"Aethusa cynapium L., 1753",5371825,1593,Aethusa cynapium,Aethusa cynapium,
80383,Angiospermes,Plantae,"Agave americana L., 1753",2767031,1679,Agave americana,Agave americana,
80410,Angiospermes,Plantae,"Agrimonia eupatoria L., 1753",3001956,1810,Agrimonia eupatoria,Agrimonia eupatoria,
80417,Angiospermes,Plantae,"Agrimonia procera Wallr., 1840",3002121,1815,Agrimonia procera,not_found,
80546,Angiospermes,Plantae,"Agrostemma githago L., 1753",3085368,1869,Agrostemma githago,Agrostemma githago,
80824,Angiospermes,Plantae,"Ailanthus altissima (Mill.) Swingle, 1916",3190653,2124,Ailanthus altissima,Ailanthus altissima,
80978,Angiospermes,Plantae,"Ajuga chamaepitys (L.) Schreb., 1773",2927080,2162,Ajuga chamaepitys,Ajuga chamaepitys,
80980,Angiospermes,Plantae,"Ajuga genevensis L., 1753",2927079,2165,Ajuga genevensis,not_found,
80988,Angiospermes,Plantae,"Ajuga pyramidalis L., 1753",8429926,2170,Ajuga pyramidalis,not_found,
80990,Angiospermes,Plantae,"Ajuga reptans L., 1753",2927078,2172,Ajuga reptans,Ajuga reptans,
81027,Angiospermes,Plantae,"Alchemilla acutiloba Opiz, 1838",7890713,2297,Alchemilla vulgaris,not_found,
81033,Angiospermes,Plantae,"Alchemilla alpina L., 1753",3027648,2299,Alchemilla alpina,Alchemilla alpina,
81295,Angiospermes,Plantae,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",5376075,2496,Alliaria petiolata,Alliaria petiolata,
81499,Angiospermes,Plantae,"Allium roseum L., 1753",2855893,2560,Allium roseum,Allium roseum,
81508,Angiospermes,Plantae,"Allium schoenoprasum L., 1753",2855860,2566,Allium schoenoprasum,Allium schoenoprasum,
81541,Angiospermes,Plantae,"Allium ursinum L., 1753",2857601,2587,Allium ursinum,Allium ursinum,
81543,Angiospermes,Plantae,"Allium victorialis L., 1753",2857132,2589,Allium victorialis,Allium victorialis,
