CD_REF,Regroupement,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,PFAF_name
79691,Angiosperm,"Acacia dealbata Link, 1822",2979474,279,Acacia dealbata,Acacia dealbata,Acacia dealbata
79734,Angiosperm,"Acer campestre L., 1753",3189863,797,Acer campestre,Acer campestre,Acer campestre
79766,Angiosperm,"Acer negundo L., 1753",3189866,841,Acer negundo,Acer negundo,Acer negundo
79887,Angiosperm,"Achillea erba-rotta All., 1773",9536147,904,Achillea erba-rotta,Achillea erba-rotta,Achillea erba-rotta
79908,Angiosperm,"Achillea millefolium L., 1753",3120060,909,Achillea millefolium,Achillea millefolium,Achillea millefolium
79913,Angiosperm,"Achillea nana L., 1753",8714852,911,Achillea nana,not_found,not_found
79921,Angiosperm,"Achillea ptarmica L., 1753",3120333,916,Achillea ptarmica,Achillea ptarmica,Achillea ptarmica
79939,Angiosperm,"Achillea tomentosa L., 1753",7787053,73481,not_found,not_found,not_found
80007,Angiosperm,"Aconitum anthora L., 1753",3033670,73526,Aconitum anthora,not_found,not_found
80034,Angiosperm,"Aconitum lycoctonum L., 1753",3033675,1027,Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum
80037,Angiosperm,"Aconitum napellus L., 1753",3033665,1028,Aconitum napellus,Aconitum napellus,Aconitum napellus
80066,Angiosperm,"Aconitum variegatum L., 1753",8090449,1037,Aconitum variegatum,not_found,not_found
80086,Angiosperm,"Acorus calamus L., 1753",2873769,1045,Acorus calamus,Acorus calamus,Acorus calamus
80137,Angiosperm,"Actaea spicata L., 1753",5371473,1133,Actaea spicata,Actaea spicata,Actaea spicata
80212,Angiosperm,"Adonis annua L., 1753 [nom. et typ. cons.]",5371709,1361,Adonis annua,not_found,not_found
80240,Angiosperm,"Adonis vernalis L., 1753",5371711,1364,Adonis vernalis,Adonis vernalis,Adonis vernalis
80322,Angiosperm,"Aegopodium podagraria L., 1753",3034620,1439,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria
80358,Angiosperm,"Aethusa cynapium L., 1753",5371825,1593,Aethusa cynapium,Aethusa cynapium,Aethusa cynapium
80383,Angiosperm,"Agave americana L., 1753",2767031,1679,Agave americana,Agave americana,Agave americana
80410,Angiosperm,"Agrimonia eupatoria L., 1753",3001956,1810,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria
80417,Angiosperm,"Agrimonia procera Wallr., 1840",3002121,1815,Agrimonia procera,not_found,not_found
80546,Angiosperm,"Agrostemma githago L., 1753",3085368,1869,Agrostemma githago,Agrostemma githago,Agrostemma githago
80824,Angiosperm,"Ailanthus altissima (Mill.) Swingle, 1916",3190653,2124,Ailanthus altissima,Ailanthus altissima,Ailanthus altissima
80978,Angiosperm,"Ajuga chamaepitys (L.) Schreb., 1773",2927080,2162,Ajuga chamaepitys,Ajuga chamaepitys,Ajuga chamaepitys
80980,Angiosperm,"Ajuga genevensis L., 1753",2927079,2165,Ajuga genevensis,not_found,not_found
80988,Angiosperm,"Ajuga pyramidalis L., 1753",8429926,2170,Ajuga pyramidalis,not_found,not_found
80990,Angiosperm,"Ajuga reptans L., 1753",2927078,2172,Ajuga reptans,Ajuga reptans,Ajuga reptans
81027,Angiosperm,"Alchemilla acutiloba Opiz, 1838",7890713,2297,Alchemilla vulgaris,not_found,not_found
81033,Angiosperm,"Alchemilla alpina L., 1753",3027648,2299,Alchemilla alpina,Alchemilla alpina,Alchemilla alpina
81295,Angiosperm,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",5376075,2496,Alliaria petiolata,Alliaria petiolata,Alliaria petiolata
81499,Angiosperm,"Allium roseum L., 1753",2855893,2560,Allium roseum,Allium roseum,Allium roseum
81508,Angiosperm,"Allium schoenoprasum L., 1753",2855860,2566,Allium schoenoprasum,Allium schoenoprasum,Allium schoenoprasum
81541,Angiosperm,"Allium ursinum L., 1753",2857601,2587,Allium ursinum,Allium ursinum,Allium ursinum
81543,Angiosperm,"Allium victorialis L., 1753",2857132,2589,Allium victorialis,Allium victorialis,Allium victorialis
81563,Angiosperm,"Alnus alnobetula (Ehrh.) K.Koch, 1872",8956987,2704,Alnus alnobetula,not_found,not_found
81569,Angiosperm,"Alnus glutinosa (L.) Gaertn., 1790",2876213,2710,Alnus glutinosa,Alnus glutinosa,Alnus glutinosa
81570,Angiosperm,"Alnus incana (L.) Moench, 1794",9148577,2712,Alnus incana,Alnus incana,Alnus incana
81856,Angiosperm,"Althaea officinalis L., 1753",3152520,3003,Althaea officinalis,Althaea officinalis,Althaea officinalis
82018,Angiosperm,"Amaranthus retroflexus L., 1753",6109534,3134,Amaranthus retroflexus,Amaranthus retroflexus,Amaranthus retroflexus
82080,Angiosperm,"Ambrosia artemisiifolia L., 1753",8002952,3157,Ambrosia artemisiifolia,not_found,not_found
82130,Angiosperm,"Ammi majus L., 1753",3034182,3210,Ammi majus,Ammi majus,Ammi majus
82391,Angiosperm,"Anchusa officinalis L., 1753",5341201,3462,Anchusa officinalis,Anchusa officinalis,Anchusa officinalis
82637,Angiosperm,"Anemone nemorosa L., 1753",3033263,3691,Anemonoides nemorosa,Anemone nemorosa,Anemone nemorosa
82656,Angiosperm,"Anemone ranunculoides L., 1753",3033266,3701,Anemonoides ranunculoides,not_found,not_found
82738,Angiosperm,"Angelica sylvestris L., 1753",5371818,3738,Angelica sylvestris,Angelica sylvestris,Angelica sylvestris
82796,Angiosperm,"Antennaria dioica (L.) Gaertn., 1791",5385604,3925,Antennaria dioica,Antennaria dioica,Antennaria dioica
82922,Angiosperm,"Anthoxanthum odoratum L., 1753",2705975,4036,Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum
82952,Angiosperm,"Anthriscus sylvestris (L.) Hoffm., 1814",5371742,4045,Anthriscus sylvestris,Anthriscus sylvestris,Anthriscus sylvestris
82999,Angiosperm,"Anthyllis vulneraria L., 1753",5352367,4072,Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria
83058,Angiosperm,"Antirrhinum majus L., 1753",3172001,4128,Antirrhinum majus,Antirrhinum majus,Antirrhinum majus
83195,Angiosperm,"Apium graveolens L., 1753",5371879,4210,Apium graveolens,Apium graveolens,Apium graveolens
83267,Angiosperm,"Aquilegia vulgaris L., 1753",3033191,4337,Aquilegia vulgaris,Aquilegia vulgaris,Aquilegia vulgaris
83481,Angiosperm,"Arbutus unedo L., 1753",2882803,4447,Arbutus unedo,Arbutus unedo,Arbutus unedo
83499,Angiosperm,"Arctium lappa L., 1753",7353729,4489,Arctium lappa,Arctium lappa,Arctium lappa
83502,Angiosperm,"Arctium minus (Hill) Bernh., 1800",5393103,4491,Arctium minus,Arctium minus,Arctium minus
83653,Angiosperm,"Arenaria serpyllifolia L., 1753",8089871,4614,Arenaria serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia
117874,Angiosperm,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero Garc�a, 1988",2888485,4634,Argemone mexicana,Argemone mexicana,Argemone mexicana
83714,Angiosperm,"Argentina anserina (L.) Rydb., 1899",5367246,64234,Argentina anserina,not_found,not_found
83777,Angiosperm,"Aristolochia clematitis L., 1753",2873991,75335,Aristolochia clematitis,Aristolochia clematitis,Aristolochia clematitis
83793,Angiosperm,"Aristolochia rotunda L., 1753",2874019,5060,Aristolochia rotunda,Aristolochia rotunda,Aristolochia rotunda
83832,Angiosperm,"Armeria maritima (Mill.) Willd., 1809",8930531,5085,Armeria maritima,Armeria maritima,Armeria maritima
83866,Angiosperm,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800",3041022,5093,Armoracia rusticana,Armoracia rusticana,Armoracia rusticana
83874,Angiosperm,"Arnica montana L., 1753",5405976,5104,Arnica montana,Arnica montana,Arnica montana
83912,Angiosperm,"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819",2704505,5134,Arrhenatherum elatius,not_found,not_found
83933,Angiosperm,"Artemisia absinthium L., 1753",3121319,5155,Artemisia absinthium,Artemisia absinthium,Artemisia absinthium
83938,Angiosperm,"Artemisia annua L., 1753",8373355,5160,Artemisia annua,Artemisia annua,Artemisia annua
83973,Angiosperm,"Artemisia genipi Weber, 1775",7511951,5188,Artemisia genipi,not_found,not_found
83974,Angiosperm,"Artemisia glacialis L., 1763",8102092,75422,Artemisia glacialis,Artemisia glacialis,Artemisia glacialis
84003,Angiosperm,"Artemisia maritima L., 1753",3121650,5209,Artemisia maritima,Artemisia maritima,Artemisia maritima
84053,Angiosperm,"Artemisia umbelliformis Lam., 1783",8981321,5253,Artemisia umbelliformis,Artemisia umbelliformis,Artemisia umbelliformis
84061,Angiosperm,"Artemisia vulgaris L., 1753",3120946,5257,Artemisia vulgaris,Artemisia vulgaris,Artemisia umbelliformis
84110,Angiosperm,"Arum italicum Mill., 1768",5330661,5392,Arum italicum,not_found,Artemisia vulgaris
84112,Angiosperm,"Arum maculatum L., 1753",5330580,5393,Arum maculatum,Arum maculatum,not_found
84135,Angiosperm,"Aruncus dioicus (Walter) Fernald, 1939",5362136,5395,Aruncus dioicus,Aruncus dioicus,Arum maculatum
84173,Angiosperm,"Arundo donax L., 1753",2703041,5471,Arundo donax,Arundo donax,Aruncus dioicus
84195,Angiosperm,"Arundo micrantha Lam., 1791",4110789,407006,not_found,not_found,Arundo donax
84230,Angiosperm,"Asarum europaeum L., 1753",7313595,5485,Asarum europaeum,Asarum europaeum,not_found
84251,Angiosperm,"Asclepias syriaca L., 1753",3170247,5512,Asclepias syriaca,Asclepias syriaca,Asarum europaeum
84279,Angiosperm,"Asparagus officinalis L., 1753",2768885,5540,Asparagus officinalis,Asparagus officinalis,Asclepias syriaca
84306,Angiosperm,"Asperula cynanchica L., 1753",12225742,5558,not_found,Asperula cynanchica,Asparagus officinalis
84330,Angiosperm,"Asperula tinctoria L., 1753",2916767,5570,Asperula tinctoria,Asperula tinctoria,Asperula cynanchica
84338,Angiosperm,"Asphodelus albus Mill., 1768",2778457,5575,Asphodelus albus,Asphodelus albus,Asperula tinctoria
84936,Angiosperm,"Astrantia major L., 1753",3034915,5917,Astrantia major,Astrantia major,Asphodelus albus
85502,Angiosperm,"Ballota nigra L., 1753",2926894,6666,Ballota nigra,Ballota nigra,Astrantia major
761965,Angiosperm,"Barbarea vulgaris W.T.Aiton, 1812",5708780,6903,Barbarea vulgaris,Barbarea vulgaris,Ballota nigra
85740,Angiosperm,"Bellis perennis L., 1753",3117424,7173,Bellis perennis,Bellis perennis,Barbarea vulgaris
85774,Angiosperm,"Berberis vulgaris L., 1753",3033894,7230,Berberis vulgaris,Berberis vulgaris,Bellis perennis
85820,Angiosperm,"Beta vulgaris L., 1753",8971274,7314,Beta vulgaris,not_found,Berberis vulgaris
85903,Angiosperm,"Betula pendula Roth, 1788",5331916,7356,Betula pendula,Betula pendula,not_found
85904,Angiosperm,"Betula pubescens Ehrh., 1791",9118014,7359,Betula pubescens,Betula pubescens,Betula pendula
85972,Angiosperm,"Bidens pilosa L., 1753",5391845,7402,Bidens pilosa,Bidens pilosa,Betula pubescens
86081,Angiosperm,"Bistorta officinalis Delarbre, 1800",6390806,7471,Bistorta officinalis,not_found,Bidens pilosa
86087,Angiosperm,"Blackstonia perfoliata (L.) Huds., 1762",6366886,7485,not_found,Blackstonia perfoliata,not_found
994837,Angiosperm,"Blitum bonus-henricus (L.) Rchb., 1832",8044896,408597,Blitum bonus-henricus,not_found,Blackstonia perfoliata
86156,Angiosperm,"Borago officinalis L., 1753",2926110,7725,Borago officinalis,Borago officinalis,not_found
86490,Angiosperm,"Briza media L., 1753",2702789,8361,Briza media,not_found,Borago officinalis
86890,Angiosperm,"Buglossoides arvensis (L.) I.M.Johnst., 1954",2925901,8778,Buglossoides arvensis,Buglossoides arvensis,not_found
86969,Angiosperm,"Bunias erucago L., 1753",3050357,8865,not_found,not_found,Buglossoides arvensis
87044,Angiosperm,"Bupleurum falcatum L., 1753",6027105,8878,Bupleurum falcatum,Bupleurum falcatum,not_found
87143,Angiosperm,"Buxus sempervirens L., 1753",2984671,8964,Buxus sempervirens,Buxus sempervirens,Bupleurum falcatum
87420,Angiosperm,"Calendula arvensis L., 1763",9182765,9482,Calendula arvensis,Calendula arvensis,Buxus sempervirens
87501,Angiosperm,"Calluna vulgaris (L.) Hull, 1808",2882482,9621,Calluna vulgaris,Calluna vulgaris,Calendula arvensis
87540,Angiosperm,"Caltha palustris L., 1753",5371685,9768,Caltha palustris,Caltha palustris,Calluna vulgaris
87690,Angiosperm,"Campanula patula L., 1753",5410564,9957,not_found,not_found,Caltha palustris
87712,Angiosperm,"Campanula rapunculus L., 1753",5411920,9968,Campanula rapunculus,Campanula rapunculus,not_found
87720,Angiosperm,"Campanula rotundifolia L., 1753",5410907,9970,Campanula rotundifolia,not_found,Campanula rapunculus
87742,Angiosperm,"Campanula trachelium L., 1753",5412014,9980,Campanula trachelium,not_found,not_found
87964,Angiosperm,"Cardamine pratensis L., 1753",7972010,10304,Cardamine pratensis,Cardamine pratensis,not_found
89147,Angiosperm,"Carlina acaulis L., 1753",3105433,10746,Carlina acaulis,Carlina acaulis,Cardamine pratensis
89180,Angiosperm,"Carlina vulgaris L., 1753",3105380,10752,Carlina vulgaris,Carlina vulgaris,Carlina acaulis
89200,Angiosperm,"Carpinus betulus L., 1753",2875818,10773,Carpinus betulus,Carpinus betulus,Carlina vulgaris
