"","CD_REF","LB_NOM","FAMILLE","FR"
"1",120642,"Salvia fruticosa","Lamiaceae","M"
"2",119097,"Rubus fruticosus","Rosaceae","P"
"3",113924,"Plantago ovata","Plantaginaceae","M"
"4",117874,"Roemeria argemone","Papaveraceae","P"
"5",79319,"Abies alba","Pinaceae","P"
"6",79325,"Abies cephalonica","Pinaceae","I"
"7",79333,"Abies grandis","Pinaceae","I"
"8",79345,"Abies nordmanniana","Pinaceae","I"
"9",79349,"Abies pinsapo","Pinaceae","M"
"10",79684,"Abutilon theophrasti","Malvaceae","I"
"11",79687,"Acacia baileyana","Fabaceae","I"
"12",79691,"Acacia dealbata","Fabaceae","J"
"13",835510,"Vachellia karroo","Fabaceae","M"
"14",79698,"Acacia longifolia","Fabaceae","M"
"15",79700,"Acacia mearnsii","Fabaceae","J"
"16",79701,"Acacia melanoxylon","Fabaceae","I"
"17",79706,"Acacia pycnantha","Fabaceae","I"
"18",79707,"Acacia retinodes","Fabaceae","I"
"19",79710,"Acacia saligna","Fabaceae","J"
"20",79716,"Acanthoprasium frutescens","Lamiaceae","P"
"21",611761,"Acanthus arboreus","Acanthaceae","I"
"22",79721,"Acanthus mollis","Acanthaceae","P"
"23",79734,"Acer campestre","Sapindaceae","P"
"24",79735,"Acer cappadocicum","Sapindaceae","I"
"25",79755,"Acer japonicum","Sapindaceae","M"
"26",79763,"Acer monspessulanum","Sapindaceae","P"
"27",79766,"Acer negundo","Sapindaceae","J"
"28",79770,"Acer opalus","Sapindaceae","P"
"29",79775,"Acer palmatum","Sapindaceae","M"
"30",79779,"Acer platanoides","Sapindaceae","P"
"31",79783,"Acer pseudoplatanus","Sapindaceae","P"
"32",717049,"Acer rufinerve","Sapindaceae","I"
"33",79788,"Acer saccharinum","Sapindaceae","I"
"34",79865,"Achillea ageratum","Asteraceae","P"
"35",79868,"Achillea atrata","Asteraceae","P"
"36",79874,"Achillea chamaemelifolia","Asteraceae","P"
"37",896277,"Achillea collina","Asteraceae","P"
"38",79877,"Achillea crithmifolia","Asteraceae","I"
"39",79886,"Achillea distans","Asteraceae","P"
"40",79887,"Achillea erba-rotta","Asteraceae","P"
"41",79890,"Achillea filipendulina","Asteraceae","I"
"42",79903,"Achillea ligustica","Asteraceae","P"
"43",79905,"Achillea macrophylla","Asteraceae","P"
"44",610735,"Achillea maritima","Asteraceae","P"
"45",79908,"Achillea millefolium","Asteraceae","P"
